	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
88688	17	22	21	16	22	29	21	14	11	25	19	31
55392	21	17	13	29	23	15	20	10	17	10	24	17
51944	55	72	67	68	51	54	43	77	52	66	60	93
16383	216	307	178	209	285	188	135	241	276	315	241	333
34798	309	183	170	139	103	197	277	295	390	182	180	193
79440	259	161	117	151	182	122	113	136	186	73	134	194
76304	140	129	105	151	177	148	62	126	56	33	68	73
59188	330	484	433	779	597	620	424	499	739	544	677	524
77046	117	308	222	194	281	253	145	173	424	229	133	257
47198	245	327	242	253	298	507	270	224	156	274	489	169
58511	273	237	326	422	293	318	185	202	174	481	175	288
40408	61	66	57	39	63	51	61	41	27	22	40	73
19918	19	21	28	19	19	17	14	10	19	16	9	11
85702	512	296	224	419	628	219	349	316	341	443	366	357
17119	288	330	383	443	275	368	966	748	163	842	493	636
50211	67	190	157	119	196	176	126	101	45	103	38	163
18075	87	85	40	61	57	39	36	53	91	81	105	55
28909	15892	13500	18715	7085	8942	17997	19792	11379	23019	10608	9043	18260
42483	44	66	12	33	55	76	54	62	35	63	21	74
92914	77	106	116	73	92	95	157	100	93	131	137	64
33315	171	212	348	309	314	281	103	288	227	284	183	250
64971	10	10	19	5	11	15	16	31	19	12	14	10
73619	121	192	338	83	146	204	324	211	322	491	389	635
59619	5308	6381	4685	5745	2658	4902	5946	6156	3210	6192	4568	5231
50406	956	1027	797	1590	867	1877	1693	953	1097	809	1274	428
85090	486	516	309	489	826	676	578	474	579	555	813	671
25771	566	521	781	603	580	512	451	646	740	725	470	698
51444	83	96	195	249	108	387	413	575	433	498	303	462
64983	611	1466	1327	1300	622	1180	1160	898	964	1006	1047	999
54172	91	148	126	61	213	160	63	81	130	156	116	102
11305	67	84	89	86	40	33	210	88	73	171	173	115
59089	192	199	251	186	326	113	509	175	643	491	564	557
81323	886	1351	1443	368	910	884	836	1102	984	839	1707	1295
31144	407	362	136	207	312	290	468	208	245	153	231	334
56195	643	783	600	314	512	539	704	719	488	802	664	284
89978	1	0	2	1	3	0	2	4	2	1	0	1
36836	3182	1720	1390	1456	1539	2297	1865	2836	2566	1240	2154	1151
40016	14212	20434	15521	17683	7753	16827	11761	19963	21937	9370	11570	20435
87102	2630	2395	3123	3100	2260	2134	3368	3113	3375	2780	1499	1159
69005	107	132	66	132	102	46	123	102	49	62	56	68
76902	19	20	26	37	43	25	19	34	44	39	31	27
48962	274	176	268	387	186	106	411	123	246	208	420	255
26531	7	21	19	11	22	17	15	39	15	19	11	13
27710	805	350	934	665	1019	739	551	647	620	571	666	685
92837	46	30	47	37	46	40	49	96	60	65	38	65
63595	719	1336	1340	1350	841	1277	958	1417	1350	943	1651	1263
62778	1420	1900	2080	1293	2912	2404	1827	2550	2141	2842	2576	2588
24568	1	2	2	2	4	4	3	3	1	3	3	2
25240	259	310	211	256	331	233	271	660	660	614	471	691
87973	17	40	83	36	24	47	50	28	24	56	53	59
16897	5	17	4	3	10	12	7	12	3	11	15	16
83290	31	27	50	32	29	40	44	53	55	18	38	62
13864	125	116	102	116	129	48	108	219	57	87	82	82
26772	1046	984	1817	889	929	1371	690	2096	1115	1119	1029	1791
96958	4	10	9	11	13	8	5	5	6	4	9	7
18753	1472	1189	1774	878	1506	1354	716	702	2599	1202	1639	880
36872	7471	14233	8989	9235	8817	9572	8907	14147	9677	15234	6348	5971
39227	520	530	293	330	612	463	1191	423	628	581	346	598
62591	233	557	268	436	1021	521	522	478	311	382	527	510
59011	94	130	157	141	216	149	93	241	145	152	277	211
33546	21	17	16	17	15	23	13	13	8	13	7	11
62755	615	487	420	418	290	549	534	331	418	233	231	426
27282	213	455	352	331	376	378	335	515	274	335	197	309
52034	491	830	895	611	994	493	647	617	767	978	579	579
87482	29097	28689	13767	42646	29133	24418	48241	14210	22308	21459	19636	31491
83731	833	565	948	376	859	339	767	954	414	507	1081	512
59652	232	593	217	427	467	380	459	507	314	333	663	442
30901	2923	2941	3936	2923	3053	6342	5134	4147	2067	3821	4456	2773
51662	12	12	12	13	9	17	15	15	9	23	9	22
53272	11	30	28	15	22	9	16	10	7	24	26	21
52251	109	42	62	88	52	103	40	46	61	100	85	52
42725	42	49	52	28	43	24	87	40	54	36	43	36
50735	650	531	694	351	1202	663	729	820	406	658	471	787
95188	36	68	68	96	84	82	58	50	91	123	80	56
100702	4782	7933	3315	6619	6556	4119	1991	2485	4123	1967	4997	6839
77266	3238	2510	3010	3282	3393	3387	4833	3119	2067	6626	2611	2709
48884	698	1035	1613	929	745	686	670	736	603	869	984	563
88804	75	83	40	123	85	94	114	119	57	44	92	98
27843	403	561	509	444	322	623	746	948	1105	261	226	693
61725	620	853	879	625	946	535	580	419	879	511	930	873
56722	18	30	24	19	19	27	22	25	15	8	15	29
75464	236	235	165	276	269	266	317	310	312	410	233	280
54912	650	719	422	682	733	952	662	598	651	516	709	820
70216	168	180	359	227	391	374	195	261	326	336	235	245
85495	4310	3703	2330	4962	2608	5808	3410	5560	3672	5154	2214	2668
61377	1884	1423	1181	3299	967	1939	3458	2162	975	2694	1854	2794
82013	32	23	36	40	20	24	39	41	24	41	43	28
64110	224	195	239	215	179	114	193	211	161	196	233	115
17268	40	76	45	30	45	34	28	25	34	37	32	17
79031	532	423	494	675	520	641	484	634	695	391	325	623
29151	18	30	16	35	19	26	18	36	17	23	22	21
34820	751	499	1471	1030	1006	1083	1547	1295	1764	1852	2379	1617
46409	502	331	329	253	367	299	505	319	221	342	354	431
20160	2099	1621	1463	1509	595	455	847	1371	1701	1232	1263	1819
77338	75	80	188	88	104	52	64	206	111	58	103	124
72479	7	5	8	16	12	14	5	10	14	7	9	6
81579	6561	5905	5083	5462	4961	6156	13966	13317	11980	10877	9764	9670
15120	87	63	134	104	77	88	93	91	71	118	124	66
34785	1712	2190	1864	1587	3120	1631	1759	3066	1345	2922	3206	2423
77941	435	376	289	462	348	315	200	123	396	475	391	317
100105	865	884	557	432	695	330	826	416	648	445	551	419
43440	6260	4215	4531	6219	3465	8232	5794	8598	6250	5696	6557	7172
31779	182	246	240	518	200	449	202	404	284	481	328	456
19429	2691	2212	1807	2903	2674	1986	1364	2055	1400	1687	4474	3729
55203	5	7	16	14	9	17	8	18	24	25	17	8
32541	1153	853	632	651	665	1278	486	1486	1164	1074	1445	1501
43523	77	68	67	87	153	79	128	260	219	168	285	165
97935	116	121	143	196	232	188	104	81	151	94	208	144
57861	139	144	181	195	203	243	157	217	114	250	125	144
100708	230	396	209	136	377	370	532	427	314	293	172	361
83537	3121	3312	3785	4987	2679	4120	3084	5807	2178	4660	4956	2083
14793	6	6	6	6	2	5	8	0	1	3	2	6
75133	121	195	176	196	276	242	273	168	240	186	115	138
86892	24	45	36	51	28	30	36	14	19	20	38	36
28565	765	1965	1129	1296	1658	1324	1274	1644	2437	1943	722	2216
89729	49	59	52	42	52	66	83	97	87	154	170	172
72151	328	302	343	356	266	343	363	253	377	469	523	346
56521	64	83	77	28	41	84	54	64	18	134	57	69
96366	494	715	823	518	500	488	422	882	459	585	355	469
81903	988	1621	1761	1252	1130	1033	1022	971	1168	1708	852	1095
85056	66	37	68	49	51	54	65	64	58	59	98	66
78073	161	227	145	170	115	206	160	179	197	203	161	108
53898	10	18	8	11	12	11	9	10	7	3	3	15
31528	383	218	308	235	341	195	265	223	215	524	175	130
23119	836	863	756	740	445	535	515	1072	767	1146	466	548
44037	82	44	34	55	31	26	72	65	73	43	29	34
61486	2481	1912	990	2588	1415	1199	1004	2154	1394	947	1444	1069
93580	4	0	2	3	3	0	2	2	2	1	0	5
90912	5	3	2	3	10	4	4	0	4	3	3	2
88480	16	17	11	12	7	10	14	9	8	4	7	6
87751	45	63	96	58	56	40	71	50	47	82	74	62
79328	237	177	225	191	92	99	403	508	396	191	408	175
92013	122	121	173	70	127	182	229	236	62	172	135	53
87341	124	206	147	174	80	78	60	160	133	103	139	117
87235	642	595	564	914	1066	1040	429	1088	617	879	778	662
86246	72	74	69	61	73	66	89	79	44	52	42	88
81896	21	8	15	18	17	14	18	12	11	6	6	10
88403	17	22	13	16	15	8	13	14	14	25	10	4
32202	11242	11917	4976	10566	11812	7950	21617	5098	16192	9337	12654	10188
37692	0	4	1	1	2	0	2	0	3	0	0	2
16930	123	94	53	101	112	57	129	61	88	128	127	108
57198	3934	1520	2062	4811	2789	3353	1554	4396	1175	3718	2480	3306
96476	402	531	260	308	870	418	598	1237	890	503	1227	486
32473	31	72	17	29	24	20	21	31	45	20	25	27
26754	171	151	240	199	124	185	190	175	105	91	158	185
33169	1176	738	943	1162	1096	860	702	1165	666	1302	815	1382
75254	1401	1041	993	2288	774	1110	1624	1983	1985	2462	1172	1618
53934	18	13	41	28	29	22	19	36	20	20	38	41
85412	683	747	477	1007	630	464	637	671	1063	1184	413	383
14508	285	129	312	272	356	180	220	257	163	210	196	202
93821	815	1260	1122	2557	792	1009	1870	1306	833	1827	1580	1119
79461	2098	3213	2152	2743	2186	2211	2596	1227	1197	2027	1887	2470
43758	60	46	58	111	99	90	95	91	64	65	77	88
78999	8	10	13	9	10	6	8	10	19	6	6	14
50556	437	291	383	445	440	192	397	323	233	267	283	259
84509	5209	5418	7906	5700	4344	9901	3704	5169	4396	8606	5242	5364
66207	473	265	688	775	638	358	1265	1064	1237	1006	936	853
81215	327	154	211	234	257	339	266	324	275	517	140	150
42816	19261	13447	15262	22276	15702	15520	17815	16463	20455	14957	18318	25360
67518	29	17	18	16	18	14	16	19	19	26	15	14
44305	1043	479	916	1018	858	811	1601	1417	817	1047	1076	1384
81258	46	55	50	74	49	40	43	36	52	57	58	43
57654	143	175	157	145	215	188	126	177	195	232	278	136
74091	244	177	169	213	113	217	174	201	121	174	176	228
20224	3542	2165	2706	3707	2438	4101	3161	3045	3777	3583	4363	2826
83242	10	40	5	17	13	34	21	29	27	33	22	29
14883	57	24	55	79	60	67	65	58	43	67	46	54
86597	8	6	1	4	2	5	13	13	19	12	12	15
23659	524	508	370	470	430	599	952	396	578	912	903	721
79960	57	61	41	106	59	54	79	39	50	83	56	71
51888	309	294	296	392	348	447	276	263	219	490	283	321
38075	13	14	28	32	29	20	12	20	12	23	13	13
45056	63	133	50	99	64	75	80	91	131	55	73	50
31427	1782	1819	1078	999	1424	1588	805	1156	1222	1283	2153	1821
46141	155	104	156	83	105	111	170	103	165	74	164	205
89635	323	603	723	462	953	397	554	1861	607	1725	1189	724
76487	482	293	309	575	477	476	588	258	320	269	384	258
51036	104	78	77	111	80	150	23	91	95	58	53	125
83607	14	10	8	6	10	7	5	4	10	7	7	2
56743	1176	1079	1457	1378	891	754	1185	1138	1014	1416	1225	1414
85751	272	228	77	437	128	272	322	239	152	177	361	269
29563	1403	1235	2377	907	1458	768	1625	594	925	1304	895	1094
68237	0	0	4	2	3	2	4	3	0	0	7	7
84933	8	11	4	5	5	6	5	8	8	5	6	9
62656	2	0	3	1	0	1	1	3	1	3	2	5
37487	29	23	15	44	21	23	42	12	32	31	17	6
59292	1555	1781	1460	1046	1667	1796	998	1739	1530	713	1019	1363
22706	359	590	532	434	455	702	373	724	521	357	607	545
93988	106	148	143	92	160	118	308	460	242	365	319	188
34511	219	195	179	231	236	106	261	171	215	236	248	369
56898	506	828	617	761	644	815	662	908	782	673	391	831
61051	140	35	99	103	77	125	57	116	100	85	114	93
32110	438	445	393	249	316	376	185	279	154	242	545	608
81351	189	238	198	96	171	217	238	395	152	197	207	250
31093	2	4	3	4	2	2	3	4	1	1	3	2
80605	85	90	91	88	90	88	48	51	90	62	77	80
49800	2029	2977	2998	2706	2878	2886	2721	1531	1885	2735	2878	1702
80606	94	46	85	81	88	93	82	55	75	50	77	104
56966	105	159	156	127	88	144	177	110	163	180	91	145
23375	43	62	58	49	41	44	32	38	46	45	53	55
43470	40	45	38	82	43	60	148	95	95	159	134	60
17493	1034	1809	1936	1274	1287	1575	2825	2710	4153	3000	1798	2618
82844	84	66	111	66	79	108	171	140	185	186	229	287
55022	22	8	25	21	13	15	25	18	25	32	24	23
44318	1	0	1	2	0	4	1	0	2	1	1	4
18512	73	31	25	57	51	55	20	124	104	31	34	31
46150	4	8	3	0	4	4	5	0	2	5	1	2
90717	1	4	8	6	4	9	14	10	5	14	12	4
72086	762	613	1180	451	622	1528	875	998	1120	606	921	737
41433	699	358	717	615	610	808	568	640	501	687	602	551
31391	2	3	3	2	4	5	2	5	6	4	6	1
97451	1316	311	713	653	1162	1318	1010	1176	1214	860	840	756
81595	401	197	419	414	446	618	386	269	417	312	416	261
59349	36	21	18	30	40	32	23	18	31	23	45	25
84029	829	773	348	851	422	1164	685	548	632	709	545	321
49982	8	6	4	6	7	10	8	8	4	6	4	5
85385	10	14	14	10	6	13	12	9	11	21	26	18
93089	7	10	8	12	3	5	6	20	31	16	22	11
70580	27	17	12	7	4	19	13	15	12	24	6	18
59772	391	508	1648	1119	667	1743	1033	842	963	1106	1282	1215
90220	5	30	13	7	5	11	5	5	2	13	8	17
37943	8	14	12	15	12	19	16	11	20	21	16	10
82702	30	30	17	35	18	22	8	14	19	30	22	26
86248	200	244	213	261	201	366	274	187	353	168	102	246
14504	89	63	89	170	109	36	147	89	261	150	135	130
83764	679	1866	888	1115	527	1014	815	1358	615	437	1219	657
67551	31	45	31	27	29	47	30	38	46	32	35	56
82751	20	17	17	9	17	11	12	9	5	10	9	11
89378	88	68	70	97	62	52	66	50	87	82	24	34
19312	227	185	101	151	144	235	146	261	153	101	153	166
33764	16	28	12	24	28	19	35	27	24	34	18	14
89428	248	241	248	254	262	340	273	160	287	461	219	201
46600	5363	7023	3544	4803	3496	3746	5818	4942	4059	5737	5514	4643
53783	27	33	29	50	53	73	96	51	90	97	67	69
52037	106	133	160	155	221	216	131	144	101	201	254	116
56622	2050	2497	1644	2596	3638	3113	1919	1283	3595	2773	1271	2259
33478	56	43	57	21	52	50	26	56	51	80	47	35
20375	28	10	10	22	24	27	18	40	25	46	30	23
20929	15	23	20	15	15	10	26	18	5	14	14	5
81243	257	229	221	234	281	255	408	277	243	292	334	391
23876	234	326	235	431	659	629	392	622	459	430	429	455
99061	110	46	73	85	112	87	54	101	114	162	130	190
88196	214	186	169	175	118	91	303	222	213	152	164	118
42435	1510	1639	1875	1464	2755	1550	1375	1890	1830	2489	1422	1137
70299	1030	1208	819	1289	1036	745	1696	1851	2307	1931	1276	884
22200	13	6	19	7	9	5	12	7	11	6	10	11
42482	136	50	167	93	96	160	76	152	144	106	97	127
53432	218	245	122	295	191	133	199	245	167	189	99	174
22612	353	561	733	874	1010	722	747	869	499	660	791	481
66025	107	54	89	42	145	89	92	89	73	104	122	54
73363	37	36	51	58	21	56	52	39	49	47	71	57
91545	48	73	59	49	75	62	120	49	74	46	55	53
27168	5	11	1	4	4	4	4	11	6	5	10	8
58486	122	194	69	124	174	123	119	72	166	95	109	149
14275	48	42	18	55	44	93	64	35	51	44	31	75
15176	221	449	371	349	362	504	318	362	459	177	338	170
63037	15	19	19	26	6	23	20	17	23	11	18	10
22555	55	53	59	57	59	50	31	84	36	41	37	68
33832	18	27	21	13	22	6	30	12	19	14	7	14
30677	11	20	14	18	25	19	21	17	17	31	32	19
34586	630	743	551	474	597	648	496	823	303	532	1112	395
64845	53	63	37	73	66	51	60	95	44	80	31	68
26028	337	283	201	487	449	290	477	502	230	117	528	256
61894	19	26	6	18	16	16	15	20	17	18	7	17
73412	115	93	188	130	165	156	265	137	107	195	290	179
93010	5	5	5	9	1	3	3	6	5	2	2	5
17824	95	36	33	51	32	107	78	51	47	45	78	27
64578	47	55	57	49	28	51	76	53	44	67	70	66
90757	373	310	347	403	240	330	372	512	328	263	464	392
99715	186	140	250	161	214	331	213	287	105	231	121	278
28211	118	169	95	87	103	114	135	122	225	156	156	217
20409	886	858	610	385	453	653	611	1271	1136	1095	1002	1061
64656	208	155	156	182	136	136	238	160	315	171	240	134
18721	220	601	262	520	391	315	498	289	357	454	645	570
63829	914	723	796	598	639	585	648	727	599	772	648	840
81959	121	137	132	148	97	192	109	158	80	181	101	104
33817	54	109	52	98	90	75	87	128	142	173	156	67
27902	192	262	423	387	217	186	509	626	704	353	752	456
56738	54	54	84	81	83	73	46	46	71	97	47	72
76652	370	295	492	173	167	232	405	447	216	230	286	588
36014	900	1008	1694	1867	926	1495	1039	1320	2241	1656	1628	1645
85289	771	1001	655	1056	917	800	1051	1079	660	390	1168	766
72949	50	52	39	58	36	75	73	58	49	91	49	80
80783	19	14	8	20	15	12	8	9	11	7	5	12
100321	154	78	142	106	107	131	178	80	135	141	121	102
88534	101	102	143	105	134	125	238	356	237	205	358	113
66367	1288	642	1263	903	1675	1137	1630	1736	1078	986	1153	1211
92015	54	52	111	77	102	53	60	82	67	52	55	77
47381	141	83	72	69	96	91	100	112	82	135	62	40
20674	1013	496	449	887	284	792	472	684	841	601	511	935
57873	54	112	86	55	67	72	72	91	76	68	75	70
32495	97	127	127	168	79	77	125	116	144	70	137	156
88714	2743	5685	3913	5199	4471	2447	3131	8060	3535	4726	4590	4556
32559	3387	2010	1723	2305	3446	3321	1929	2859	3418	2343	2411	2852
63501	557	636	649	316	489	580	914	978	1634	587	683	1404
87842	357	211	184	188	300	263	456	688	618	355	748	247
62502	19	20	26	12	15	31	9	37	11	23	30	32
63030	499	880	429	480	362	366	365	334	432	231	435	414
28267	70	69	152	151	156	301	131	169	271	145	135	159
19373	137	317	139	178	270	236	165	316	234	273	264	175
96621	50	37	53	59	42	70	36	107	82	77	33	71
70206	140	151	171	95	198	190	156	155	94	176	236	124
63626	74	109	72	52	116	124	133	185	86	84	142	71
68913	507	170	157	163	91	254	241	118	340	288	275	420
30573	2272	4156	2721	3226	2017	2745	2436	5043	3404	2753	2730	2657
95935	183	268	299	341	429	191	236	242	127	388	233	209
58658	1	6	1	6	4	11	4	6	6	9	3	4
85152	29	21	16	18	34	17	16	28	21	12	31	23
39304	11	12	4	5	4	9	4	6	5	7	3	7
57470	47	15	33	34	13	32	19	25	38	16	22	16
77405	486	276	493	877	399	520	483	216	436	513	448	198
98456	397	272	344	260	296	339	747	292	551	754	537	592
89760	55	31	28	29	27	52	47	48	69	58	36	49
47706	256	292	355	291	194	188	222	143	154	166	341	164
70517	48	28	50	30	38	30	19	39	13	15	22	45
54862	8	14	13	16	14	11	7	6	4	4	6	19
58095	8	4	9	7	10	6	5	15	8	13	10	5
57978	35	30	21	12	30	17	20	13	26	29	17	9
37699	2814	2330	3767	2092	2030	2534	3925	3045	1946	2238	1688	1969
84743	10	10	9	9	9	13	4	9	18	8	6	14
45309	593	1314	2281	1841	940	2123	1509	660	2097	2378	1926	2579
68297	2622	1349	1485	2785	1347	2276	1619	1783	2888	1234	1375	1317
56418	136	73	133	63	138	57	124	137	72	79	93	112
62286	120	184	123	178	150	270	166	90	90	74	157	94
24446	37	70	80	36	47	53	40	30	26	38	45	28
76150	165	169	84	161	85	152	122	173	44	115	128	136
61781	447	530	506	373	709	491	416	446	811	411	649	574
56714	175	183	137	193	113	46	123	134	208	118	220	128
20762	1208	613	1198	876	631	965	651	1283	920	1230	690	1028
72573	2141	1450	1147	1550	1044	1159	586	1264	1959	1255	1430	712
42764	400	150	174	246	190	194	164	280	242	299	284	218
49388	367	268	280	154	204	256	285	484	557	304	279	225
80719	156	138	92	68	115	175	161	111	159	96	80	140
30412	249	311	569	361	375	490	237	270	248	212	264	195
82361	28	16	14	13	14	17	12	5	10	9	10	5
37855	281	316	115	367	319	267	340	387	319	255	582	185
41660	231	228	230	261	187	72	499	350	446	252	318	440
79891	19	18	19	20	30	19	32	32	30	22	24	26
51947	13286	10539	15011	8053	9929	7689	8123	12573	4617	8909	9673	6586
60679	18	12	14	18	16	35	17	7	16	27	15	12
98005	16	20	19	23	28	18	21	14	17	27	31	20
65487	259	244	102	263	307	455	353	160	157	155	325	248
18578	0	7	2	3	3	1	2	5	10	7	5	5
43804	34	19	23	43	27	35	15	36	25	32	35	27
48484	7	7	11	5	9	8	10	7	7	7	5	4
34001	12	19	24	25	50	28	44	25	16	26	16	27
66800	122	171	87	58	67	81	103	101	143	141	114	140
45526	193	259	168	262	377	199	288	172	261	200	315	380
33286	1159	1116	895	1102	785	1329	1158	935	1279	1022	849	943
36183	788	1635	530	536	1074	532	625	445	945	396	956	1151
37656	1239	1274	1572	2287	1856	2104	1406	1602	1132	1090	1556	1380
58579	424	267	464	425	279	385	415	469	656	320	435	420
42781	93	71	34	54	54	45	62	78	58	30	33	45
88717	1242	1649	859	980	1091	1197	1538	1104	1603	808	1074	1221
44157	50	59	59	87	49	85	44	60	51	84	60	34
87020	58	49	36	45	40	14	27	48	39	18	24	37
34601	2475	1825	1715	5627	3169	1953	2531	2037	2178	1400	3625	2895
87445	496	339	519	905	614	826	998	879	908	481	809	598
84363	232	160	247	188	217	322	288	148	115	198	228	202
71675	315	701	694	994	409	457	763	802	735	566	919	963
97730	553	572	1078	615	458	735	1059	661	860	1168	1465	1045
31316	6	4	12	6	5	11	9	6	8	6	9	7
39220	128	112	40	76	67	147	142	152	131	118	116	215
60119	17	17	8	14	10	2	22	19	34	32	13	44
29135	176	126	225	183	143	162	193	135	218	139	161	116
45807	25	55	37	34	29	19	31	41	52	30	45	30
75565	1431	2627	1607	2078	2989	2781	1372	3114	1457	1769	3108	1836
24212	360	342	234	383	494	540	564	353	436	209	557	346
96431	39	28	39	24	37	42	24	27	42	37	27	22
79743	102	218	219	159	169	84	150	148	124	131	149	95
85527	9	15	12	23	7	13	9	3	5	7	9	8
98246	102	87	183	238	136	132	95	176	222	206	246	140
41302	353	312	475	606	407	335	397	373	265	580	293	435
72504	276	251	287	284	209	167	154	235	216	223	224	345
85846	2	3	4	2	2	8	2	3	3	3	1	1
97170	97	39	69	67	50	36	66	75	78	51	92	53
18873	342	501	383	251	609	479	348	306	338	573	300	493
62101	255	340	283	323	193	264	222	210	336	400	227	208
43354	1136	1743	1262	856	1639	1443	878	1436	1237	1529	1403	1473
94235	15	18	6	13	11	8	20	11	7	5	14	17
34052	274	416	588	341	285	264	479	569	396	300	414	238
39387	36	29	28	46	34	30	53	33	36	37	28	32
62278	256	241	184	387	166	251	177	171	247	122	166	250
69272	145	271	505	286	545	509	608	279	322	330	277	358
20189	621	237	627	747	661	782	911	628	526	624	470	285
13056	32	32	44	54	44	31	31	37	87	24	59	32
20760	172	189	180	195	225	258	212	175	254	202	188	249
62557	13	20	9	12	9	25	32	22	13	40	20	29
21089	8	11	9	9	5	5	11	11	9	13	10	8
79865	260	762	247	273	469	289	332	428	283	600	311	427
90805	97	119	121	148	150	43	103	71	90	130	115	166
42938	10	5	8	7	5	5	11	2	3	4	4	0
57341	18	14	46	29	26	26	22	36	13	45	17	24
89535	145	133	229	132	205	79	200	122	166	112	129	203
36550	3687	3305	2982	2756	5242	2468	3755	4408	3605	3543	2990	3137
97615	856	922	2175	1425	787	978	1229	1080	764	960	1200	692
97326	577	675	366	565	548	946	607	824	833	489	765	609
84698	2	3	7	3	3	3	3	3	3	2	4	4
41878	153	98	105	60	149	155	83	61	101	108	149	188
65860	395	392	422	278	265	322	662	903	640	392	510	713
28264	212	275	374	252	312	549	355	340	165	379	227	220
52871	393	210	169	156	324	412	190	549	389	208	209	265
45205	105	57	56	96	72	62	45	83	98	71	49	102
14551	2725	3224	2250	6065	5773	2173	6347	3841	6183	2784	6070	3736
61864	3564	2201	4902	2850	2779	2209	2840	3168	2659	1775	1988	2542
45876	123	66	136	86	110	47	171	186	79	206	119	115
20011	23	16	15	32	16	20	22	21	5	26	23	17
95527	4732	6821	8991	5716	4809	10594	15584	22231	16998	30516	23344	13454
41635	53	55	31	41	23	70	26	43	68	36	25	36
54468	855	748	1344	1897	1340	1151	1144	2075	1794	2258	1569	1455
94576	2332	6656	4457	4348	3827	6188	8986	9572	8384	7236	4560	8292
51122	15	27	26	20	19	18	14	18	28	16	15	26
56485	295	323	173	286	201	353	196	239	396	228	273	296
32406	49	124	122	65	123	51	59	102	42	42	100	62
57484	636	450	608	238	382	554	259	273	536	400	294	449
23422	247	143	493	222	277	269	359	340	247	237	159	129
29080	3065	6157	7149	8411	6521	5673	4524	11627	3444	6284	5771	5979
35331	778	406	528	324	811	631	426	289	303	443	248	355
43549	205	164	180	143	204	80	128	122	75	150	123	195
33220	1364	1800	773	1294	946	607	3216	2467	4103	1950	2927	1413
38532	84	109	86	90	96	148	47	68	113	53	75	97
89021	69	104	99	34	78	85	113	133	56	69	83	79
83495	9603	14736	16689	11643	13368	11714	6570	9681	20913	6573	14578	12675
94435	24	25	39	22	18	23	60	72	51	46	50	109
93878	70	47	59	41	66	48	37	43	45	36	34	29
52237	260	195	210	122	181	171	105	149	64	195	132	160
94618	22	14	16	15	15	12	23	15	6	14	16	11
58734	0	0	0	1	3	2	2	3	1	2	6	3
47070	1628	1313	863	576	530	772	2443	1648	2702	2241	2261	4982
100193	30	23	17	35	35	23	16	36	19	31	38	47
89144	49	52	75	51	66	67	53	67	39	43	15	57
91131	90	78	101	39	61	101	48	81	31	99	104	73
57399	17	38	14	13	30	17	13	14	21	22	11	29
39637	19	13	12	13	12	18	16	20	11	15	6	22
24870	114	226	249	258	164	108	241	143	193	93	160	72
13276	18298	12694	20212	23755	16081	13944	16230	15473	13107	29649	14041	17410
49594	764	534	519	549	916	384	559	541	632	540	783	480
61269	584	775	326	343	506	287	541	559	532	835	290	922
51633	9	7	8	4	10	13	5	9	3	13	5	4
45693	169	157	104	67	224	165	111	100	123	235	58	99
46311	26	11	14	8	12	21	18	36	39	29	47	25
32239	558	708	528	632	544	624	661	565	400	398	643	1006
52001	80	114	94	113	118	89	169	161	140	161	156	247
38267	156	127	138	126	177	117	151	118	173	124	173	122
80464	94	107	99	144	123	113	92	364	258	310	142	247
22377	31	46	52	44	9	24	52	35	42	62	36	51
74886	4	6	7	9	7	9	2	6	11	3	11	9
47257	493	217	746	500	195	727	213	281	371	705	637	477
83924	5	12	10	2	6	8	14	16	8	16	9	18
29179	16	9	9	12	22	8	18	14	7	25	21	8
31802	87	80	33	150	69	116	78	61	73	67	108	38
45343	29	35	17	30	43	34	49	33	34	37	46	17
30120	205	164	160	125	145	257	208	191	249	229	268	203
42652	548	949	760	1349	1461	1046	1589	1314	974	2219	819	810
56988	121	291	181	145	266	224	165	161	406	175	239	167
27436	183	276	209	229	266	254	120	284	177	281	285	241
42230	67	219	82	84	196	133	192	144	82	149	177	150
38881	1225	400	1107	795	531	810	1063	841	605	382	719	1004
68759	4	6	4	0	7	3	4	3	3	6	3	1
40519	358	294	500	222	176	347	349	276	327	236	434	273
74416	27	27	22	7	23	28	24	51	21	10	26	13
60771	16	26	4	8	11	10	12	12	16	5	12	19
18456	97	191	136	86	237	134	160	175	139	105	89	123
86011	77	88	69	104	67	45	38	62	58	61	44	72
51880	541	324	702	498	373	352	433	377	290	470	227	251
54799	1178	821	1431	1069	1386	1362	1657	1501	1772	696	829	1139
69692	1	1	1	1	0	0	1	1	2	2	1	1
90149	95	102	61	94	95	131	123	57	82	109	136	99
55498	8675	4721	6485	6710	4788	9172	8441	4648	6773	9217	7910	5757
49112	566	803	1480	675	795	752	834	598	462	568	525	1148
68646	2445	2038	2221	2803	2779	2295	2110	2563	1981	1292	2888	5660
27638	261	74	135	213	139	181	261	140	116	146	231	182
12550	1	9	8	6	6	7	8	2	10	5	8	5
35357	16	21	22	22	5	13	15	9	13	19	19	17
73830	543	753	602	637	722	574	623	627	467	739	620	529
84931	547	1596	1353	1128	628	647	811	820	881	1533	1109	671
90005	24	35	8	52	15	36	38	35	49	18	40	44
70697	94	47	65	72	108	70	98	50	63	56	51	96
30637	313	194	215	361	168	224	208	182	236	269	204	346
