	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000170375	83	114	227	142	169	259	339	82
ENSG00000133732	117	94	138	87	64	193	113	64
ENSG00000247231	6	5	3	3	9	5	4	3
ENSG00000237267	82	278	134	201	281	86	166	197
ENSG00000160703	8992	7186	5020	8693	6461	7686	4710	10077
ENSG00000171092	24	58	115	107	51	58	43	67
ENSG00000176886	833	704	1252	657	832	1594	1598	1084
ENSG00000175437	4	2	6	9	2	6	5	6
ENSG00000235257	426	577	699	1273	926	975	590	971
ENSG00000216210	28	34	15	44	39	38	75	31
ENSG00000239754	342	425	418	301	290	186	244	386
ENSG00000223764	1214	1033	949	1117	753	923	1068	1024
ENSG00000126599	9	10	14	4	7	3	28	15
ENSG00000248409	75	85	116	64	121	64	61	76
ENSG00000209350	1438	747	1093	740	507	964	919	543
ENSG00000241531	181	396	341	277	374	194	346	474
ENSG00000172272	2	6	4	0	1	3	2	0
ENSG00000188870	168	134	136	108	110	271	372	222
ENSG00000165472	4	8	9	9	19	9	3	3
ENSG00000234214	172	72	105	99	151	150	179	68
ENSG00000246260	9	4	9	3	1	7	19	2
ENSG00000130540	0	1	0	0	1	2	1	2
ENSG00000198539	221	157	104	203	246	164	176	181
ENSG00000137439	14	14	10	7	18	17	15	15
ENSG00000219707	773	723	658	890	851	913	606	704
ENSG00000163567	225	485	400	311	301	374	603	291
ENSG00000114436	167	141	160	122	133	170	214	176
ENSG00000240546	1042	681	958	892	436	658	1146	1016
ENSG00000211990	110	56	83	91	78	89	62	104
ENSG00000157697	547	429	579	526	579	562	589	390
ENSG00000196373	128	70	130	129	131	143	142	137
ENSG00000198258	0	0	1	1	2	0	0	1
ENSG00000237381	95	81	173	177	169	84	176	211
ENSG00000174470	15	7	8	5	10	3	10	5
ENSG00000134347	38	80	52	48	59	50	21	74
ENSG00000107475	745	803	758	700	590	767	459	710
ENSG00000247123	20	21	7	4	24	3	14	30
ENSG00000209386	609	444	495	797	585	971	865	707
ENSG00000206186	1071	763	451	433	1237	302	615	875
ENSG00000167965	16168	12036	28282	4379	17207	13369	15436	3744
ENSG00000147840	508	393	823	387	691	590	439	813
ENSG00000246429	4	15	11	8	7	6	11	14
ENSG00000157175	164	109	87	83	42	104	72	82
ENSG00000130708	3	8	11	1	10	3	11	9
ENSG00000130379	60	99	206	123	189	77	104	168
ENSG00000125219	129	53	101	57	66	76	54	78
ENSG00000108042	1542	2108	1382	911	2064	1340	1665	2037
ENSG00000184515	39	88	95	99	135	66	65	91
ENSG00000199350	14	27	13	15	15	39	14	26
ENSG00000197601	20	32	12	28	28	31	36	29
ENSG00000189113	86	120	25	78	109	63	39	54
ENSG00000227714	7	9	7	5	9	11	6	7
ENSG00000103263	103	62	52	79	107	133	121	105
ENSG00000227567	83	40	59	108	95	121	137	84
ENSG00000152711	43	41	54	78	40	41	26	25
ENSG00000175876	11	22	13	21	14	7	23	8
ENSG00000245491	76	63	79	70	74	63	62	49
ENSG00000202470	87	147	161	179	111	145	148	62
ENSG00000166354	553	918	421	700	867	755	766	342
ENSG00000119225	115	110	57	75	93	124	133	101
ENSG00000233421	704	711	693	887	1025	452	820	906
ENSG00000182197	5	4	4	4	1	7	8	5
ENSG00000240107	1489	579	598	662	994	623	846	744
ENSG00000208288	1	2	0	2	2	2	1	4
ENSG00000136483	13	19	13	14	14	26	13	20
ENSG00000171265	118	224	114	174	180	90	131	102
ENSG00000167597	98	100	43	127	53	29	101	69
ENSG00000156930	647	1057	336	406	431	1031	583	397
ENSG00000158319	354	430	665	325	524	765	390	299
ENSG00000104131	507	472	659	472	328	473	386	836
ENSG00000131678	115	146	106	98	106	187	97	65
ENSG00000140176	41	25	16	51	38	30	18	31
ENSG00000148240	796	703	879	475	602	454	518	486
ENSG00000235850	128	144	100	224	92	209	129	137
ENSG00000219507	177	197	176	168	162	223	149	202
ENSG00000161819	200	161	112	247	175	76	141	165
ENSG00000202456	144	113	260	128	106	127	215	81
ENSG00000140150	346	254	347	120	725	294	313	266
ENSG00000147765	191	313	231	264	380	215	323	306
ENSG00000198879	51	56	65	57	96	40	97	113
ENSG00000192846	6	12	7	6	11	16	10	14
ENSG00000105094	218	271	239	273	238	168	320	208
ENSG00000239621	52	70	29	88	30	64	41	48
ENSG00000122156	59	65	116	57	75	96	51	59
ENSG00000223066	242	223	138	291	170	203	373	192
ENSG00000232014	32	22	16	24	20	28	25	41
ENSG00000228921	88	77	90	97	52	92	99	157
ENSG00000246828	104	162	174	145	117	135	96	169
ENSG00000239776	779	540	480	918	546	923	805	790
ENSG00000193320	9814	6857	7625	13991	5628	18803	10499	10054
ENSG00000212930	88	159	102	90	121	168	130	113
ENSG00000131089	528	190	695	213	530	487	875	338
ENSG00000147898	57	71	100	67	58	44	112	51
ENSG00000235110	2188	2330	1427	3307	3417	2456	1044	2034
ENSG00000146575	396	582	144	205	163	185	344	307
ENSG00000139868	910	758	1284	1009	1160	1244	1977	748
ENSG00000181959	3334	1917	3585	2786	3412	4251	2793	2279
ENSG00000142746	8023	15382	13360	18357	14218	14129	8968	7509
ENSG00000190608	166	149	211	73	154	168	171	132
ENSG00000161196	20	7	16	16	19	17	9	9
ENSG00000118647	184	235	108	144	102	159	144	113
ENSG00000156831	3	3	6	4	5	7	2	4
ENSG00000238195	39584	76976	35491	30943	63808	31313	41593	51822
ENSG00000110609	144	118	83	226	294	114	168	135
ENSG00000129843	52	38	60	59	80	40	43	38
ENSG00000135276	3899	3483	2822	2008	2446	1918	5940	2214
ENSG00000195208	162	148	64	91	131	57	60	85
ENSG00000130883	1487	1966	2127	1240	1218	1875	2157	1603
ENSG00000135543	10	6	10	22	9	12	16	14
ENSG00000218384	7	3	1	4	8	4	8	4
ENSG00000158328	234	433	281	304	226	249	379	572
ENSG00000203409	8	4	11	8	12	11	11	8
ENSG00000187007	12	11	12	8	7	20	14	11
ENSG00000191086	1367	1707	1161	1209	571	972	1359	1184
ENSG00000132267	88	22	56	37	46	93	14	54
ENSG00000209691	110	62	95	146	77	47	105	214
ENSG00000154261	136	69	126	86	102	69	98	29
ENSG00000194911	588	1513	1222	875	976	943	1438	688
ENSG00000240469	112	157	115	113	149	112	153	126
ENSG00000219926	50	36	109	100	104	99	103	65
ENSG00000140669	41	42	84	43	42	33	63	79
ENSG00000209413	517	306	327	190	313	261	304	284
ENSG00000139516	509	960	594	456	326	434	736	416
ENSG00000211476	15	13	10	9	14	7	4	6
ENSG00000226330	1322	954	1155	561	762	1120	373	712
ENSG00000239920	209	37	162	100	226	122	162	58
ENSG00000133242	215	314	347	341	467	186	436	244
ENSG00000146507	495	345	560	547	535	583	451	649
ENSG00000192192	87	51	70	48	64	21	44	49
ENSG00000180375	3	3	1	2	1	3	3	5
ENSG00000102858	8	4	3	7	4	1	3	8
ENSG00000178273	1317	738	1232	1015	454	1614	983	933
ENSG00000196579	1243	1237	1947	2483	1796	1477	1497	1370
ENSG00000143685	48232	33988	44569	41267	43690	49190	26279	76529
ENSG00000245048	52	61	158	42	60	120	176	106
ENSG00000213563	790	1067	621	744	862	664	915	753
ENSG00000140438	152	137	73	209	155	70	94	135
ENSG00000126358	16	9	30	27	18	29	21	11
ENSG00000191300	794	888	496	748	566	723	669	845
ENSG00000244192	254	423	143	184	308	348	270	368
ENSG00000153030	265	289	431	555	307	206	446	260
ENSG00000227816	106	100	213	142	153	136	173	136
ENSG00000173281	428	602	393	348	570	731	503	276
ENSG00000121783	117	137	147	122	89	180	125	160
ENSG00000142827	1084	2271	819	769	1155	807	747	1045
ENSG00000130650	74	76	114	125	71	78	54	108
ENSG00000131968	18	36	33	39	32	44	46	52
ENSG00000202206	3229	5294	2748	3087	5548	7510	4004	1761
ENSG00000116785	3926	7590	4957	6381	7494	6709	7613	5471
ENSG00000133109	2093	1228	2355	818	1606	1265	2629	922
ENSG00000111853	37	20	50	12	52	18	31	21
ENSG00000180344	81	90	140	45	81	69	90	79
ENSG00000234949	0	0	1	2	1	1	1	0
ENSG00000233083	6	7	9	8	2	7	9	7
ENSG00000206763	11794	12380	10941	15295	15172	9847	16450	15392
ENSG00000243059	1	4	3	5	2	2	4	1
ENSG00000128683	370	334	255	194	292	369	378	268
ENSG00000149530	1038	407	478	1030	473	783	684	1074
ENSG00000215949	28	54	34	35	65	34	58	41
ENSG00000183419	1024	542	709	415	1763	648	703	649
ENSG00000127613	27	33	28	38	46	21	51	55
ENSG00000109231	1574	761	753	1339	1232	1070	579	692
ENSG00000185524	279	164	228	224	354	202	268	197
ENSG00000118352	132	161	146	142	192	125	121	83
ENSG00000157250	114	110	217	250	149	176	104	125
ENSG00000214144	4361	1791	2007	1752	2032	1884	2432	1806
ENSG00000235703	15	20	16	11	15	11	15	16
ENSG00000247823	94	48	36	41	38	59	25	37
ENSG00000179307	2	7	9	3	6	7	6	6
ENSG00000104312	169	31	78	96	163	43	85	90
ENSG00000175098	216	212	209	177	202	147	235	250
ENSG00000249744	132	56	180	39	141	85	162	58
ENSG00000121201	261	240	159	271	156	222	240	122
ENSG00000137265	123	86	51	42	87	56	112	21
ENSG00000203649	4659	4107	5478	4492	6841	4074	4273	6337
ENSG00000238151	729	816	1047	608	655	655	579	621
ENSG00000110075	142	118	96	128	190	66	98	209
ENSG00000147854	254	369	285	335	163	156	375	478
ENSG00000179268	69	82	133	78	107	76	39	48
ENSG00000136894	3004	1553	2234	1488	1914	992	4194	1041
ENSG00000163617	10	2	6	5	7	8	10	4
ENSG00000231716	8	14	7	6	8	5	3	6
ENSG00000240463	2	5	9	7	5	8	5	8
ENSG00000178222	1289	1380	1117	1361	1204	966	592	1260
ENSG00000123624	40452	23864	48752	31865	80804	32734	67182	22465
ENSG00000199063	1673	2709	3014	2137	2523	1119	3714	2849
ENSG00000174574	101	68	47	82	79	39	64	47
ENSG00000129381	248	143	182	196	183	118	228	173
ENSG00000158191	621	464	339	467	464	561	316	366
ENSG00000161653	190	111	43	56	171	41	92	120
ENSG00000189949	80	36	137	56	75	98	68	71
ENSG00000207526	517	620	462	833	706	1151	655	1440
ENSG00000171295	62	18	86	29	40	27	101	14
ENSG00000172330	0	1	0	1	1	2	2	1
ENSG00000160582	5972	5589	7735	10266	11510	9555	9241	5419
ENSG00000190421	1394	1720	1264	2443	936	1301	1729	1332
ENSG00000213172	74	37	29	33	57	45	17	71
ENSG00000203202	9432	8556	2944	7377	4976	7281	4006	3168
ENSG00000197384	30	19	16	25	19	40	22	16
ENSG00000121685	412	166	221	202	221	190	370	188
ENSG00000176484	126	61	72	116	82	105	76	141
ENSG00000241781	182	291	265	199	266	191	256	244
ENSG00000122920	14	15	7	17	8	8	21	24
ENSG00000144080	185	523	346	229	315	325	552	229
ENSG00000169653	546	731	656	644	813	736	668	673
ENSG00000234748	119	37	140	128	169	80	181	114
ENSG00000137616	237	218	274	398	290	169	223	357
ENSG00000193767	365	474	313	328	236	584	288	379
ENSG00000206935	483	851	441	594	955	550	648	887
ENSG00000155324	853	227	371	439	577	354	206	261
ENSG00000203987	353	497	414	441	582	494	367	467
ENSG00000202392	85	87	108	122	118	103	101	142
ENSG00000160332	35	62	48	67	33	37	36	22
ENSG00000232004	3	2	1	0	2	2	0	1
ENSG00000109347	3371	4952	4220	3149	1294	3761	3108	4339
ENSG00000201686	152	89	119	159	124	154	81	160
ENSG00000219320	414	376	514	423	427	409	309	346
ENSG00000111457	854	319	1458	1103	987	689	870	1014
ENSG00000239125	60	59	48	19	60	20	44	80
ENSG00000182558	814	599	972	344	1366	515	1836	752
ENSG00000152838	41	66	60	78	80	89	70	51
ENSG00000147719	181	178	54	168	97	96	121	108
ENSG00000144831	3	1	3	1	1	2	1	1
ENSG00000160452	525	419	543	412	578	524	428	574
ENSG00000125269	198	291	235	228	226	225	379	271
ENSG00000163749	8	13	10	13	15	9	14	5
ENSG00000137458	778	698	226	581	691	587	662	626
ENSG00000183308	547	635	1039	691	476	842	549	722
ENSG00000206215	119	91	59	64	81	73	43	103
ENSG00000179612	12	12	5	7	5	10	17	9
ENSG00000109271	207	166	373	255	329	121	165	149
ENSG00000124864	5	5	13	9	15	11	21	15
ENSG00000223228	336	294	246	163	252	107	259	413
ENSG00000177459	484	698	298	678	475	281	335	512
ENSG00000249497	35	20	8	26	20	21	17	17
ENSG00000122411	2640	1001	2285	1494	2505	1181	2319	1037
ENSG00000174999	18	11	7	15	18	21	11	7
ENSG00000113764	2181	1891	2140	1893	2428	1564	1572	2868
ENSG00000127347	1140	642	1346	552	1414	577	1361	601
ENSG00000172837	79	115	115	83	101	112	75	54
ENSG00000249221	1518	1344	600	837	1427	856	1333	684
ENSG00000202054	415	930	679	1015	879	889	1104	419
ENSG00000120426	7470	6791	11050	11266	9738	7476	5717	11766
ENSG00000117053	263	158	389	680	279	229	328	320
ENSG00000166442	58	44	38	60	106	40	72	44
ENSG00000161808	2118	2361	1056	2563	3047	1497	2719	1611
ENSG00000155631	53	44	62	41	54	46	19	33
ENSG00000173369	18	23	24	20	28	21	37	9
ENSG00000226543	53	53	59	60	42	46	40	18
ENSG00000240287	41	38	45	22	42	45	22	17
ENSG00000162604	22	21	27	28	25	40	30	17
ENSG00000180546	3	0	1	3	3	0	1	2
ENSG00000188380	5752	5953	3283	2205	3124	2522	2039	1846
ENSG00000190097	43	50	34	51	37	87	118	67
ENSG00000202498	183	409	296	322	253	251	234	308
ENSG00000138889	680	468	1202	438	799	736	470	361
ENSG00000172132	347	245	334	406	423	397	456	230
ENSG00000138899	6	7	15	6	4	15	14	4
ENSG00000210843	15	27	12	41	28	14	21	20
ENSG00000149706	1417	1025	1897	1390	556	1866	1205	815
ENSG00000232889	61	47	69	65	90	46	62	62
ENSG00000189843	91	112	122	147	139	147	154	158
ENSG00000173022	373	459	483	413	559	377	295	432
ENSG00000240795	445	441	293	372	481	351	402	656
ENSG00000148990	75	89	187	82	64	114	132	133
ENSG00000153110	707	1150	874	767	1495	1193	508	707
ENSG00000112092	21	23	45	22	39	30	11	21
ENSG00000144115	11	6	9	6	8	3	10	8
ENSG00000222064	45	46	50	30	50	50	49	27
ENSG00000233457	594	1562	519	537	365	403	456	607
ENSG00000213947	138	114	106	131	164	123	124	95
ENSG00000216853	101	17	66	53	63	41	82	38
ENSG00000202966	92	110	165	73	141	118	75	57
ENSG00000227999	165	26	103	59	150	55	147	54
ENSG00000108673	1884	944	2442	1381	1321	1502	1535	969
ENSG00000240748	146	83	74	81	107	144	89	138
ENSG00000134802	3834	3914	4292	4051	2322	4813	1992	3181
ENSG00000133901	28	18	6	7	11	5	15	8
ENSG00000177374	49	44	51	85	58	47	37	46
ENSG00000113157	259	257	362	371	306	319	212	394
ENSG00000149968	111	103	131	177	98	124	67	135
ENSG00000126311	1	1	1	5	3	6	2	6
ENSG00000112918	6574	2230	3654	2226	6113	2608	4817	2924
ENSG00000142502	294	133	253	75	252	179	127	157
ENSG00000212791	33	30	22	50	26	58	46	35
ENSG00000224508	28	7	21	7	19	7	28	10
ENSG00000135257	189	146	179	88	190	172	232	98
ENSG00000214828	577	251	344	242	221	180	218	464
ENSG00000185478	240	236	152	145	265	176	140	226
ENSG00000129597	95	181	121	70	138	106	135	130
ENSG00000139616	36	85	29	43	49	44	24	56
ENSG00000135039	1439	834	1122	2203	1076	1217	1204	1551
ENSG00000187810	262	265	305	163	166	547	306	536
ENSG00000146761	301	474	280	327	350	255	284	206
ENSG00000206047	140	129	89	156	64	111	55	244
ENSG00000224165	379	404	288	320	247	277	202	253
ENSG00000181005	452	828	632	386	395	659	829	841
ENSG00000214365	1299	1367	3373	1862	1618	1364	4094	1717
ENSG00000203194	104	58	103	32	52	43	110	89
ENSG00000204053	45	67	55	33	37	47	29	87
ENSG00000140275	26	10	12	18	15	25	12	7
ENSG00000227002	25	7	25	17	21	7	16	13
ENSG00000242697	867	534	1064	1231	1435	1068	870	796
ENSG00000212259	6467	5528	2939	8240	5571	4548	6491	6809
ENSG00000126352	172	83	170	172	248	176	102	148
ENSG00000174564	131	36	112	60	124	91	198	53
ENSG00000176592	1064	1090	594	1285	788	552	709	1451
ENSG00000163853	11369	13672	14387	19061	16236	8125	8040	19104
ENSG00000177240	42	51	45	18	57	28	33	26
ENSG00000227026	302	269	504	222	362	131	501	216
ENSG00000187182	46	23	24	25	27	71	36	68
ENSG00000174461	460	204	308	170	298	237	435	184
ENSG00000231378	56	11	21	33	35	8	53	15
ENSG00000238865	24	11	15	29	9	27	5	16
ENSG00000161391	8	25	26	23	8	14	20	26
ENSG00000104243	676	373	310	1088	730	513	870	424
ENSG00000187380	143	126	184	92	167	123	83	98
ENSG00000100091	417	273	302	185	424	210	205	215
ENSG00000247415	131	217	106	154	174	164	151	188
ENSG00000140564	59	75	107	95	101	112	67	94
ENSG00000161845	183	145	154	189	73	156	180	117
ENSG00000213572	61	70	80	121	83	76	122	80
ENSG00000169127	1155	2369	1733	2486	3405	1480	2691	2180
ENSG00000149895	1376	2612	1471	1046	2158	1731	1586	1289
ENSG00000167434	615	337	441	381	368	297	171	295
ENSG00000105317	639	1167	784	1631	1816	1546	1908	2246
ENSG00000137642	395	281	272	238	136	172	251	351
ENSG00000200074	77	75	94	48	82	54	53	129
ENSG00000180520	255	179	167	50	210	156	87	151
ENSG00000224881	116	318	206	240	346	255	165	300
ENSG00000196992	32	46	37	39	41	46	28	28
ENSG00000119182	6	8	5	9	8	5	6	8
ENSG00000152833	221	342	566	593	322	329	271	253
ENSG00000174952	548	757	1146	676	407	447	443	510
ENSG00000163048	14	12	9	19	7	2	17	13
ENSG00000175541	4641	6281	4850	6551	7703	4058	4359	4419
ENSG00000135398	21	31	52	52	56	42	17	39
ENSG00000120438	263	117	178	228	120	248	213	257
ENSG00000162914	84	69	114	72	65	22	51	40
ENSG00000234466	39	20	22	20	16	11	25	21
ENSG00000174119	369	220	395	438	397	338	333	127
ENSG00000175376	40	49	37	40	30	28	64	44
ENSG00000248016	534	628	188	525	196	294	224	274
ENSG00000160786	214	177	269	177	223	365	326	181
ENSG00000222507	220	80	129	109	99	89	148	92
ENSG00000105201	818	1164	1054	914	1047	1658	832	1248
ENSG00000163184	516	234	613	548	508	205	533	365
ENSG00000145087	110	144	142	125	47	112	101	53
ENSG00000151056	194	86	121	218	180	179	125	120
ENSG00000210895	151	112	108	137	125	137	222	125
ENSG00000217774	396	611	448	260	425	395	180	353
ENSG00000226575	22	28	10	55	35	24	22	16
ENSG00000144617	13	10	8	5	7	10	11	8
ENSG00000213483	460	190	423	196	632	204	365	189
ENSG00000114592	177	56	81	84	156	88	207	170
ENSG00000162573	692	295	701	386	534	597	563	530
ENSG00000234331	90	114	61	77	118	127	105	107
ENSG00000116654	61	121	147	80	150	77	122	81
ENSG00000103656	220	288	351	399	214	146	341	551
ENSG00000246638	331	702	824	782	649	343	604	286
ENSG00000163963	454	226	530	586	312	329	464	262
ENSG00000235155	443	220	425	378	514	389	217	420
ENSG00000171269	263	282	328	304	450	321	563	242
ENSG00000183041	12	19	13	12	6	8	13	3
ENSG00000203326	4067	2911	5712	1481	3878	2168	3979	2461
ENSG00000104361	377	115	299	125	550	106	760	308
ENSG00000120381	108	66	118	57	94	77	79	99
ENSG00000159730	6	7	14	7	4	7	5	5
ENSG00000125761	100	265	104	230	139	159	170	231
ENSG00000120110	555	231	273	357	261	240	289	324
ENSG00000149435	309	396	529	201	275	376	316	325
ENSG00000127083	463	466	704	301	553	571	311	535
ENSG00000122745	15	6	3	1	10	5	7	9
ENSG00000114554	8	11	1	7	4	18	8	8
ENSG00000236091	33935	33843	21292	14257	18399	28890	23678	33901
ENSG00000249512	8	6	16	2	8	7	11	9
ENSG00000226200	214	290	148	143	186	193	89	324
ENSG00000243845	233	258	480	211	208	346	257	328
ENSG00000179822	149	75	123	150	74	91	132	77
ENSG00000116480	5	1	4	2	7	0	17	3
ENSG00000180795	65	27	38	26	13	75	31	41
ENSG00000228916	102	128	79	115	90	157	145	152
ENSG00000140885	1	2	1	1	0	1	1	4
ENSG00000116093	1143	715	969	462	763	437	963	357
ENSG00000240868	154	95	122	239	138	147	111	231
ENSG00000209091	35	62	22	23	43	52	44	71
ENSG00000139370	10	21	10	17	10	7	13	28
ENSG00000147461	14	25	14	16	20	17	7	18
ENSG00000232503	1048	2130	2763	1712	1851	1423	2520	2743
ENSG00000177124	970	940	924	682	377	1125	877	502
ENSG00000181685	330	628	499	570	302	256	418	489
ENSG00000187274	1161	595	288	496	317	718	538	443
ENSG00000182658	6	6	4	8	8	10	7	13
ENSG00000209116	261	117	335	298	238	181	148	212
ENSG00000200239	108	158	126	125	102	114	164	89
ENSG00000206028	94	85	71	187	200	149	85	104
ENSG00000202716	21	25	10	22	29	22	35	29
ENSG00000100118	154	127	405	151	205	63	224	129
ENSG00000202278	19	17	20	18	32	29	32	7
ENSG00000191901	1084	660	741	576	527	664	480	485
ENSG00000172728	78	136	111	101	154	90	129	58
ENSG00000199024	1027	899	1211	2143	2149	985	1907	834
ENSG00000121775	237	357	177	295	251	177	517	151
ENSG00000194380	82	121	140	100	48	76	105	96
ENSG00000197922	695	558	400	507	486	319	768	939
ENSG00000143391	858	997	1124	788	414	822	619	935
ENSG00000202156	130	50	123	175	104	62	103	118
ENSG00000201540	251	357	371	330	174	192	175	228
ENSG00000237954	118	32	124	71	30	54	50	124
ENSG00000124437	171	371	256	229	119	191	134	214
ENSG00000249818	122	52	87	103	95	71	64	58
ENSG00000118579	942	274	770	368	898	347	882	292
ENSG00000238720	20	41	76	27	53	30	39	35
ENSG00000143512	8	3	5	13	1	10	2	6
ENSG00000112577	167	144	95	105	283	138	93	215
ENSG00000113888	11	19	25	17	12	20	9	18
ENSG00000217352	13	17	39	16	18	17	37	46
ENSG00000145561	0	7	3	3	3	3	3	11
ENSG00000164516	2385	1778	2607	2067	2260	2442	2398	2233
ENSG00000205254	182	143	80	96	200	113	138	123
ENSG00000120564	78	99	192	95	82	99	119	77
ENSG00000231485	21	34	27	22	39	28	46	26
ENSG00000123678	75	142	101	84	84	108	151	181
ENSG00000246676	38	74	52	52	44	60	41	19
ENSG00000213570	203	122	280	95	123	62	158	65
ENSG00000192463	4163	1266	3047	1747	3643	1488	3433	763
ENSG00000233020	5074	2270	2105	3208	6151	3511	4835	4928
ENSG00000100717	0	3	6	0	2	0	1	2
ENSG00000192202	22	6	23	15	11	17	6	10
ENSG00000236502	116	29	84	33	85	57	105	48
ENSG00000210760	16	25	12	16	6	16	16	26
ENSG00000226161	67	85	60	39	51	76	64	63
ENSG00000112164	84	134	147	32	119	123	162	110
ENSG00000189164	190	163	207	92	99	123	161	75
ENSG00000234170	33	12	17	19	8	10	16	17
ENSG00000109556	4	8	5	7	9	4	8	3
ENSG00000207131	1	1	1	0	3	1	0	2
ENSG00000247467	358	231	318	269	334	221	273	383
ENSG00000188153	1463	1272	1315	1376	2373	1583	1072	1224
ENSG00000203154	3035	1660	1624	2084	1334	1477	1575	1785
ENSG00000242983	65	48	76	106	58	95	57	52
ENSG00000245780	20	4	19	5	18	3	10	4
ENSG00000121318	8	2	5	9	6	5	4	5
ENSG00000238007	987	1025	963	778	963	985	1046	1044
ENSG00000249355	97	163	140	61	149	62	97	153
ENSG00000140870	16575	22396	12407	14035	25211	21199	18126	22118
ENSG00000195682	564	902	300	761	726	365	644	329
ENSG00000101612	83	41	55	76	61	71	117	113
ENSG00000196112	1949	1719	1170	1453	932	1221	1054	1245
ENSG00000129928	74	78	59	98	95	94	123	70
ENSG00000212177	242	153	162	144	364	123	139	363
ENSG00000174502	47	27	37	20	33	31	53	12
ENSG00000196158	262	367	470	468	410	386	472	408
ENSG00000156521	28	23	16	20	30	21	34	26
ENSG00000159044	64	114	19	87	89	134	26	84
ENSG00000227058	31	37	47	30	35	49	47	64
ENSG00000233027	529	490	995	585	782	650	522	539
ENSG00000102922	415	952	324	410	454	757	823	567
ENSG00000175786	115	70	67	104	108	95	87	70
ENSG00000128830	199	203	368	218	252	133	256	157
ENSG00000166882	4	4	6	10	8	3	11	6
ENSG00000248201	97	18	34	11	104	57	133	69
ENSG00000146294	24	15	37	28	10	19	13	30
ENSG00000154325	2	0	2	2	3	0	1	0
ENSG00000227854	6	11	4	18	10	12	5	5
ENSG00000153481	90	68	69	75	36	73	66	42
ENSG00000130222	62	76	145	102	110	84	178	66
ENSG00000209451	176	350	235	311	200	297	305	326
ENSG00000209448	6530	4408	2230	5201	3189	3239	2980	4813
ENSG00000217281	113	121	145	190	162	214	187	141
ENSG00000135386	701	1187	1618	2215	1297	969	983	1208
ENSG00000206685	58	206	145	124	127	125	87	88
ENSG00000234076	87	55	82	90	96	56	103	87
ENSG00000115664	79	117	140	64	157	145	168	166
ENSG00000126538	14	4	27	7	13	10	23	7
ENSG00000242745	22	26	16	19	45	27	17	15
ENSG00000166327	64	50	28	43	45	60	35	36
ENSG00000134486	599	392	484	566	715	703	509	579
ENSG00000145389	380	248	164	373	358	271	208	340
ENSG00000116891	299	220	308	113	233	86	381	87
ENSG00000131686	30	31	57	45	59	23	33	28
ENSG00000173039	150	150	255	100	122	179	148	226
ENSG00000145619	16	15	34	16	16	9	14	15
ENSG00000181934	44180	27098	55682	31350	30322	55318	41472	46439
ENSG00000175950	122	91	147	99	151	181	186	152
ENSG00000225658	3	6	7	1	2	2	4	6
ENSG00000105069	709	580	546	885	956	946	808	642
ENSG00000211386	56	30	56	41	46	26	48	34
ENSG00000211910	637	795	1220	848	1007	980	1998	633
ENSG00000179814	71	94	106	91	105	141	100	127
ENSG00000104901	16	17	11	8	14	16	15	9
ENSG00000202270	477	249	533	824	404	430	299	977
ENSG00000100391	64	54	29	47	46	71	48	68
ENSG00000151358	40340	28035	30836	23650	20578	30701	18112	16910
ENSG00000161115	800	2877	2041	1414	1169	1518	2178	1504
ENSG00000176034	9	9	14	7	5	12	10	6
ENSG00000136096	640	1519	1203	731	697	1262	1308	1105
ENSG00000229042	3	2	4	2	5	2	3	3
ENSG00000134005	157	87	222	208	187	129	143	266
ENSG00000245945	125	113	125	149	145	139	124	150
ENSG00000168294	686	495	1197	603	702	735	629	715
ENSG00000172014	33	44	51	28	23	44	39	80
ENSG00000183155	47	46	61	27	62	27	39	47
ENSG00000216577	20	43	24	29	37	23	35	18
ENSG00000181452	842	810	528	396	337	236	751	715
ENSG00000157372	383	222	246	356	227	226	186	381
ENSG00000157068	384	365	397	348	269	517	353	430
ENSG00000160796	300	320	263	423	379	233	305	547
ENSG00000243701	78	70	111	106	85	83	67	86
ENSG00000183192	3112	3796	4933	2135	1793	4199	3861	2717
ENSG00000243554	41	29	20	40	50	27	35	19
ENSG00000167211	2691	2229	1992	1460	1741	2300	3330	2512
ENSG00000126759	1231	1310	1611	1425	2204	1168	1149	1815
ENSG00000228491	16	15	30	13	23	18	15	12
ENSG00000185218	554	457	413	240	580	706	627	430
ENSG00000133053	464	373	752	541	595	344	545	278
ENSG00000231640	406	497	722	594	375	693	754	863
ENSG00000143395	6	5	16	30	13	14	17	29
ENSG00000139253	797	691	885	560	1645	1043	613	791
ENSG00000133670	380	670	320	369	360	350	435	637
ENSG00000166134	8	12	6	11	2	14	13	4
ENSG00000153611	61	67	46	81	61	73	32	55
ENSG00000128188	842	1235	592	497	764	600	446	815
ENSG00000151415	49	98	95	86	73	39	85	58
ENSG00000122961	257	262	204	486	332	381	571	395
ENSG00000178974	51	87	99	76	96	45	75	47
ENSG00000114479	29	28	12	19	40	31	18	13
ENSG00000169031	147	218	66	82	156	130	129	89
ENSG00000209876	303	390	363	438	234	306	283	437
ENSG00000193275	70	61	62	71	62	106	46	45
ENSG00000178725	12	6	9	19	18	18	17	19
ENSG00000142595	4	6	3	4	5	1	5	2
ENSG00000176447	545	453	755	542	572	515	509	754
