	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000146277	49	32	71	50	110	41	48	54
ENSG00000192139	1473	1494	666	1165	1634	734	1362	1000
ENSG00000161416	3001	620	1080	931	1715	624	842	1202
ENSG00000177219	36	34	41	26	23	14	21	32
ENSG00000213624	1676	1064	1257	1029	2509	1191	1851	1105
ENSG00000116311	1959	2462	2177	2232	1611	2490	1575	3221
ENSG00000103187	255	154	165	164	153	119	139	157
ENSG00000194390	21	50	17	23	22	44	36	24
ENSG00000178743	211	203	711	333	312	496	673	246
ENSG00000177680	203	135	242	137	258	139	301	140
ENSG00000140614	167	216	356	283	301	388	299	255
ENSG00000148945	11	16	18	19	14	21	19	15
ENSG00000168242	10117	17849	7392	11948	9488	8749	4723	9688
ENSG00000148061	59	83	104	64	94	64	196	41
ENSG00000170375	787	389	925	181	549	517	609	438
ENSG00000236996	38	57	19	71	47	55	68	32
ENSG00000214266	244	206	239	183	194	92	118	231
ENSG00000131550	3	4	2	0	0	3	0	1
ENSG00000212853	14	7	7	8	16	8	8	9
ENSG00000189533	0	2	3	0	0	2	2	1
ENSG00000213323	663	1204	1091	1037	887	1935	484	602
ENSG00000132130	4	9	13	7	6	11	14	9
ENSG00000121131	6	13	5	4	3	8	7	8
ENSG00000124531	932	1865	1984	786	980	1658	1001	1744
ENSG00000225337	47	43	55	46	64	70	66	38
ENSG00000217555	162	138	71	191	78	124	148	80
ENSG00000183383	1106	1232	1245	2075	1618	1874	2079	1193
ENSG00000161225	463	479	488	552	330	380	380	266
ENSG00000189439	287	150	179	331	221	230	484	309
ENSG00000147418	478	444	478	392	679	978	340	870
ENSG00000239549	0	2	1	4	5	2	6	4
ENSG00000228363	1708	2732	932	2045	1690	2610	1393	2385
ENSG00000192629	1446	2690	2211	1532	1796	1884	4377	1871
ENSG00000134295	8044	4000	6739	5649	6579	5276	6737	5819
ENSG00000131359	0	5	1	4	0	2	1	0
ENSG00000244503	33	19	47	20	56	25	12	28
ENSG00000157697	42	50	111	33	24	53	35	44
ENSG00000123645	10148	3734	4966	4743	7080	2480	11868	7159
ENSG00000213340	583	498	374	446	384	530	514	376
ENSG00000131911	6356	3385	5441	4702	4694	6601	5283	6475
ENSG00000203927	204	348	408	422	363	291	369	489
ENSG00000230845	65	45	51	58	34	35	24	42
ENSG00000126323	5	11	8	15	19	8	12	10
ENSG00000173914	181	59	104	53	141	64	117	22
ENSG00000188511	5721	2267	2945	2909	5006	864	6446	2694
ENSG00000150978	29	14	12	32	16	41	25	24
ENSG00000209386	2	1	8	4	7	3	5	3
ENSG00000121542	232	483	291	218	206	365	259	182
ENSG00000210365	3333	1786	2466	1954	1495	1296	2130	1663
ENSG00000150751	15872	29027	23151	31388	21101	12325	18134	15057
ENSG00000219025	2241	1777	2390	1396	1191	1380	956	2055
ENSG00000192648	1185	854	1072	960	727	748	1192	1033
ENSG00000157175	3	5	10	4	1	5	9	5
ENSG00000130708	66	114	60	47	88	88	123	69
ENSG00000170996	54	45	62	43	34	55	79	83
ENSG00000238414	462	140	220	266	571	246	417	151
ENSG00000240893	25	22	11	13	25	22	33	36
ENSG00000224656	412	626	1553	629	856	363	608	738
ENSG00000116169	2219	2803	1469	1888	2634	1873	2431	1402
ENSG00000117362	171	280	482	303	506	125	487	104
ENSG00000144816	87	114	57	143	65	67	57	54
ENSG00000128296	160	241	235	269	109	299	266	303
ENSG00000138577	266	368	349	462	206	296	202	402
ENSG00000117255	1981	821	995	536	1773	615	1666	828
ENSG00000110341	39	25	45	31	9	21	27	21
ENSG00000124730	7629	2768	2164	2730	5000	2389	7615	3358
ENSG00000218116	228	164	163	165	207	160	160	161
ENSG00000152711	88	73	95	122	137	91	90	143
ENSG00000125097	522	705	529	567	753	463	508	812
ENSG00000202470	32	29	32	28	34	70	62	34
ENSG00000111165	501	920	450	749	963	707	745	647
ENSG00000144782	8099	10670	11061	10181	10190	10261	16837	10706
ENSG00000155864	583	265	267	359	489	328	393	206
ENSG00000182197	147	208	150	207	271	177	211	269
ENSG00000168670	25	49	48	68	84	52	46	63
ENSG00000210785	3368	2704	3077	2519	3865	2588	3082	3888
ENSG00000100618	2071	1632	2198	825	910	1707	1761	886
ENSG00000130107	6	9	10	12	0	6	9	9
ENSG00000229513	1341	670	1582	804	720	1169	758	1864
ENSG00000115568	33	54	39	26	57	61	34	64
ENSG00000105119	29	20	19	23	18	8	12	30
ENSG00000151307	109	80	177	72	84	109	160	68
ENSG00000148240	25	52	26	28	21	21	29	36
ENSG00000117429	1583	995	1318	3057	1033	1391	1742	523
ENSG00000157626	8	19	11	6	10	12	11	8
ENSG00000136441	8	5	8	15	10	7	3	10
ENSG00000247827	28	12	14	15	10	20	14	22
ENSG00000126189	167	70	112	110	130	73	103	100
ENSG00000136900	757	316	344	410	629	623	518	291
ENSG00000161691	12	27	5	9	22	14	13	7
ENSG00000208812	36	61	16	42	45	48	31	27
ENSG00000103413	4	4	8	4	11	9	3	5
ENSG00000146389	121	140	49	115	155	119	131	133
ENSG00000208892	24	23	19	10	22	21	12	6
ENSG00000203668	6622	11541	11443	7144	9316	13470	15898	7329
ENSG00000206893	5526	4970	6620	5286	3157	6563	4582	6548
ENSG00000110907	49	17	54	16	33	25	34	22
ENSG00000246596	216	355	274	107	87	83	186	236
ENSG00000114674	267	384	332	318	311	256	410	537
ENSG00000181484	34	52	53	26	40	63	46	47
ENSG00000122971	55	103	69	86	55	61	56	47
ENSG00000224098	592	555	551	433	388	586	550	461
ENSG00000197320	56	65	109	59	77	122	174	142
ENSG00000100130	92	116	67	67	92	40	78	70
ENSG00000107463	284	152	238	151	303	169	319	136
ENSG00000121340	1298	1016	1826	1059	1741	1811	1435	1874
ENSG00000146575	118	74	56	81	54	93	49	79
ENSG00000226622	176	333	238	142	342	172	374	376
ENSG00000172096	148	170	255	152	222	225	135	271
ENSG00000119148	647	584	673	573	587	563	663	427
ENSG00000177660	129	171	103	54	99	92	103	105
ENSG00000221653	174	31	108	22	105	87	107	36
ENSG00000222752	137	19	119	43	76	38	37	29
ENSG00000219690	436	226	347	422	500	158	480	183
ENSG00000223440	275	180	369	226	294	203	518	142
ENSG00000223426	176	133	237	44	178	50	110	75
ENSG00000239491	188	227	198	168	298	186	240	236
ENSG00000166688	12234	17221	19583	14202	23599	17622	10231	12173
ENSG00000130883	677	451	536	398	295	537	1046	987
ENSG00000139982	1	5	0	4	4	3	2	4
ENSG00000238091	1720	2295	1267	1283	1631	2743	1738	1941
ENSG00000158292	315	76	238	278	190	210	154	143
ENSG00000208609	23	4	32	22	18	32	26	23
ENSG00000202073	1600	1986	2390	3082	2594	1499	1339	1588
ENSG00000178634	281	101	251	71	246	108	302	154
ENSG00000104294	1317	1321	1248	1311	1393	680	2795	822
ENSG00000183035	68	53	44	39	70	41	41	26
ENSG00000208787	1002	766	2119	1456	2150	1143	672	780
ENSG00000194911	97	81	69	67	53	106	79	47
ENSG00000115118	1289	1096	1323	1331	1296	901	1059	565
ENSG00000219926	874	846	496	477	886	537	641	895
ENSG00000174024	14	30	12	9	15	15	23	8
ENSG00000207899	581	406	714	286	523	395	514	213
ENSG00000110732	378	386	332	325	444	359	392	609
ENSG00000227746	108	107	251	77	249	158	347	79
ENSG00000192895	4	4	7	1	8	4	9	4
ENSG00000193185	278	244	259	265	240	309	354	209
ENSG00000144408	60	55	61	42	73	62	115	82
ENSG00000181268	968	2030	1352	1704	1542	1057	2129	1238
ENSG00000140438	8	27	5	25	19	20	20	18
ENSG00000119492	759	1407	1168	1229	1053	544	613	1200
ENSG00000101972	174	178	141	259	127	284	202	222
ENSG00000209439	15675	21438	18295	17256	36488	40816	29435	25393
ENSG00000232923	15	24	16	17	23	10	40	26
ENSG00000244192	640	531	954	890	1060	1423	1325	1242
ENSG00000227816	82	53	33	19	38	29	72	57
ENSG00000245474	34	12	13	8	12	6	17	21
ENSG00000122170	1524	2267	1648	1284	1195	933	879	1557
ENSG00000162385	466	434	281	447	498	588	489	266
ENSG00000150742	930	776	502	741	874	1251	1180	1318
ENSG00000216382	6	6	6	1	7	9	7	1
ENSG00000142827	19	12	9	29	9	8	5	11
ENSG00000123396	249	618	802	358	818	358	411	406
ENSG00000167149	29	46	13	28	24	10	37	46
ENSG00000193166	2265	2434	2129	2359	1894	2264	2390	1968
ENSG00000234534	2830	4062	4138	4237	6121	6302	3784	4052
ENSG00000223950	158	87	180	89	108	115	126	78
ENSG00000234949	122	155	152	135	203	122	217	187
ENSG00000191437	195	92	188	128	148	96	59	196
ENSG00000218737	39	87	70	40	79	92	81	78
ENSG00000145532	155	176	172	202	261	190	104	92
ENSG00000108327	52	77	115	44	156	134	108	81
ENSG00000187434	353	391	293	311	466	398	190	228
ENSG00000105844	56	55	93	80	148	117	57	76
ENSG00000156114	58	23	64	35	57	82	38	52
ENSG00000187603	93	89	132	38	90	67	46	95
ENSG00000210769	42	38	42	44	73	49	37	32
ENSG00000249422	211	134	352	186	155	105	293	142
ENSG00000162903	328	534	327	333	215	302	453	431
ENSG00000173235	3936	8501	10929	5483	6120	6297	8346	10580
ENSG00000227654	5	3	9	3	4	5	11	10
ENSG00000240614	7	10	17	10	13	5	5	6
ENSG00000122101	79	165	203	89	166	129	166	118
ENSG00000210537	244	104	244	137	488	167	359	215
ENSG00000187056	164	152	97	111	113	174	151	86
ENSG00000221181	6156	7462	10818	7783	3642	6808	4451	8201
ENSG00000105950	6	2	5	2	3	2	3	5
ENSG00000199234	182	60	137	145	99	58	114	150
ENSG00000170409	16	8	9	11	9	14	7	10
ENSG00000197031	80	40	57	34	113	85	73	52
ENSG00000215576	246	566	280	263	749	355	269	638
ENSG00000164811	21	16	9	13	6	4	7	10
ENSG00000249744	958	879	1133	1494	988	980	1241	1027
ENSG00000213229	34	23	30	34	35	27	29	9
ENSG00000165279	12	10	14	19	15	11	17	19
ENSG00000238968	2	1	3	2	3	7	3	6
ENSG00000210811	47	56	19	14	15	26	36	49
ENSG00000170670	47	29	38	39	25	42	11	28
ENSG00000196903	968	1121	901	724	633	699	858	1329
ENSG00000136205	7	7	7	6	4	4	1	5
ENSG00000110075	248	221	252	215	248	126	267	115
ENSG00000199002	1249	504	882	574	649	732	1050	455
ENSG00000158345	117	73	32	54	93	40	57	75
ENSG00000111438	562	947	530	1035	447	370	426	257
ENSG00000192371	36	37	29	26	22	25	46	32
ENSG00000199063	431	306	348	204	424	268	311	403
ENSG00000125989	79	57	195	66	164	81	164	60
ENSG00000236278	11439	10305	8776	13302	13205	7701	5574	11554
ENSG00000104605	65	113	101	53	62	56	66	41
ENSG00000100896	79	68	98	71	99	120	163	91
ENSG00000182304	501	236	310	228	408	256	300	440
ENSG00000146751	82	50	42	40	79	26	48	26
ENSG00000114002	229	78	36	69	117	65	82	132
ENSG00000100058	510	466	646	208	334	245	816	263
ENSG00000107096	651	449	597	1018	838	1170	574	862
ENSG00000210764	90	31	87	36	52	44	33	61
ENSG00000203631	95	99	110	144	115	235	81	127
ENSG00000144620	81	84	121	86	75	87	98	103
ENSG00000143365	1317	459	1108	568	1597	730	831	499
ENSG00000183819	651	593	262	511	603	779	584	712
ENSG00000130395	480	358	371	229	319	233	394	508
ENSG00000128405	314	188	202	202	181	202	291	338
ENSG00000218546	4411	4148	4005	6368	3855	7096	7327	5651
ENSG00000176484	31	44	25	38	22	20	40	11
ENSG00000122161	4303	4771	5758	2324	3166	1912	4054	2908
ENSG00000157675	663	331	305	338	526	231	562	490
ENSG00000209127	14	8	16	4	10	8	9	7
ENSG00000139909	221	260	274	152	268	181	673	223
ENSG00000163709	8	11	6	4	9	10	4	13
ENSG00000122920	155	125	159	97	83	96	96	131
ENSG00000206821	0	4	5	3	4	2	1	3
ENSG00000205035	585	478	964	761	550	284	765	490
ENSG00000235276	31	28	15	34	50	32	35	45
ENSG00000194935	3155	4605	1885	3240	5961	3407	6556	1074
ENSG00000152039	37	60	30	31	31	35	43	51
ENSG00000193767	109	199	106	124	100	101	149	244
ENSG00000162783	13	13	11	12	13	3	7	16
ENSG00000248795	113	71	94	98	121	95	159	159
ENSG00000160234	165	140	113	136	175	220	114	243
ENSG00000135578	299	525	290	404	1242	445	938	537
ENSG00000232004	19700	23379	20237	21030	28881	16983	26778	22665
ENSG00000134379	2355	2854	5649	2517	5174	2952	3692	3476
ENSG00000157980	434	702	629	706	641	610	589	1010
ENSG00000213228	39	72	129	105	50	51	169	81
ENSG00000111457	34	80	85	121	68	58	74	73
ENSG00000240666	93	43	95	132	104	144	89	40
ENSG00000131264	29	14	26	19	25	42	22	29
ENSG00000156259	781	864	432	598	502	431	414	503
ENSG00000184307	127	135	135	79	149	73	99	143
ENSG00000206695	481	455	266	481	208	659	399	371
ENSG00000160452	270	93	232	59	161	76	167	61
ENSG00000205659	461	326	255	429	507	232	347	335
ENSG00000218149	3027	4944	6722	3040	8620	3395	4411	5510
ENSG00000110380	393	255	896	267	362	519	239	203
ENSG00000186180	809	963	825	666	998	1247	1494	1296
ENSG00000161201	15	33	29	28	30	35	28	15
ENSG00000155034	96	102	162	116	127	143	72	97
ENSG00000177459	112	86	192	38	158	75	101	39
ENSG00000143349	713	389	452	324	494	333	470	369
ENSG00000195053	335	464	260	346	429	313	280	253
ENSG00000175411	34	42	35	41	41	52	48	49
ENSG00000120384	291	473	280	445	307	236	354	237
ENSG00000120260	140	281	127	133	211	233	176	184
ENSG00000225005	12	9	1	12	5	5	3	5
ENSG00000159540	104	132	198	117	272	91	130	42
ENSG00000122128	2312	1492	1714	1818	1271	2853	1133	1765
ENSG00000166866	20	20	28	15	37	37	23	43
ENSG00000244431	986	1020	1805	2377	706	2584	1076	1108
ENSG00000185925	686	504	862	709	680	447	860	571
ENSG00000233456	273	83	239	270	264	102	431	251
ENSG00000172055	508	316	604	381	273	533	382	274
ENSG00000153235	25	32	47	18	46	26	40	29
ENSG00000150823	719	420	1300	620	732	934	1018	720
ENSG00000240287	7	8	6	10	12	11	4	15
ENSG00000141320	10	13	8	24	11	9	15	16
ENSG00000104424	349	370	746	385	491	694	454	426
ENSG00000219718	46	19	31	16	38	10	15	14
ENSG00000139837	10768	13827	14022	12304	6748	8746	5931	9856
ENSG00000233226	281	441	506	507	522	215	333	414
ENSG00000102868	797	904	897	1131	1447	1573	838	1088
ENSG00000125375	913	1036	1026	990	574	1135	1234	1123
ENSG00000159595	60	114	51	102	44	78	36	116
ENSG00000169993	181	189	182	77	153	149	207	206
ENSG00000215247	447	327	551	650	727	670	478	261
ENSG00000152759	152	249	150	253	177	156	214	182
ENSG00000193410	6907	6382	6392	2221	6395	6135	5467	4885
ENSG00000189843	1703	1274	1246	1492	1004	1020	1959	1741
ENSG00000141690	204	191	304	228	397	157	245	383
ENSG00000122531	1628	2254	2813	1478	3429	3083	3442	1255
ENSG00000164228	151	303	239	247	189	117	314	249
ENSG00000182549	1167	268	874	691	986	615	485	631
ENSG00000229268	214	296	197	129	330	134	159	278
ENSG00000237114	143	72	120	113	103	94	123	92
ENSG00000123600	20	58	41	12	33	24	15	41
ENSG00000160127	43	28	34	70	41	81	37	42
ENSG00000161322	155	125	151	154	323	200	213	152
ENSG00000197805	278	449	444	299	384	440	345	671
ENSG00000149968	2	3	1	2	0	3	4	2
ENSG00000152814	72	106	71	94	65	98	40	62
ENSG00000169469	547	453	588	445	577	498	518	310
ENSG00000100192	64	61	95	182	120	115	86	93
ENSG00000107607	16	26	12	32	20	32	11	10
ENSG00000105268	14	14	20	38	22	41	27	27
ENSG00000225986	5359	3516	6151	3935	9021	6142	4163	3230
ENSG00000154212	5	10	4	7	11	3	1	7
ENSG00000238338	97	136	112	102	110	83	116	93
ENSG00000226983	609	774	770	1030	1285	847	1068	726
ENSG00000108174	1	2	2	0	3	3	2	5
ENSG00000128988	346	321	558	652	338	398	599	551
ENSG00000107393	12	6	4	5	3	4	5	10
ENSG00000125183	981	1211	2328	1248	2420	1312	1200	1286
ENSG00000167435	28730	41244	44091	30313	15532	36486	18522	34217
ENSG00000159332	30	11	13	11	13	17	14	9
ENSG00000140601	128	116	57	188	279	93	249	149
ENSG00000122805	315	765	278	244	405	296	280	223
ENSG00000230841	65	62	109	43	50	42	44	123
ENSG00000173901	1071	693	418	370	623	514	1141	637
ENSG00000157106	46	48	48	37	22	30	32	45
ENSG00000131421	34	57	55	62	53	54	43	86
ENSG00000100600	34	34	30	24	35	13	58	18
ENSG00000206047	154	90	176	208	131	114	166	160
ENSG00000137386	803	231	1107	650	672	478	1009	694
ENSG00000116297	1211	1105	809	901	1155	1023	1012	1246
ENSG00000213131	107	152	136	86	173	112	121	82
ENSG00000247630	27	24	11	18	12	15	24	16
ENSG00000185441	55	82	65	56	144	65	70	117
ENSG00000216037	51	29	57	67	41	108	85	49
ENSG00000239064	69	65	89	60	62	131	57	76
ENSG00000173083	398	538	669	683	658	536	586	568
ENSG00000165665	81	206	128	126	134	132	125	147
ENSG00000160276	191	122	195	176	190	248	115	153
ENSG00000132191	106	115	143	259	152	196	237	248
ENSG00000245792	249	149	317	88	231	134	250	131
ENSG00000102357	66	97	99	78	34	46	61	47
ENSG00000219732	613	833	514	905	909	629	649	601
ENSG00000248511	249	92	225	89	225	163	277	130
ENSG00000177679	49	127	97	167	122	180	60	125
ENSG00000124614	25	21	44	12	21	22	31	13
ENSG00000163731	31	48	43	35	64	22	46	32
ENSG00000134986	42	37	72	47	50	46	28	26
ENSG00000201123	1103	549	1290	601	887	817	452	358
ENSG00000166358	5	9	1	8	3	6	2	4
ENSG00000159519	937	419	1067	743	542	424	1058	598
ENSG00000202544	381	123	364	212	386	153	300	169
ENSG00000133050	31	38	50	25	53	34	40	39
ENSG00000143705	44	17	40	40	47	19	34	13
ENSG00000140564	558	449	534	212	237	352	461	471
ENSG00000230036	315	169	145	309	245	220	297	255
ENSG00000215392	1	6	3	3	0	2	4	1
ENSG00000167434	25	38	24	31	30	27	56	16
ENSG00000164549	33	28	23	35	15	11	26	12
ENSG00000106736	310	69	234	192	112	188	185	178
ENSG00000185118	42	33	60	72	34	25	26	51
ENSG00000244295	640	398	609	486	546	326	1014	177
ENSG00000114434	54	59	39	30	66	86	62	53
ENSG00000159034	91	85	111	102	119	121	125	49
ENSG00000192789	1373	685	1903	2302	1697	1123	1688	1513
ENSG00000134461	151	71	109	54	83	167	87	87
ENSG00000225904	45	74	29	55	41	57	53	40
ENSG00000238265	147	178	211	132	145	161	203	110
ENSG00000224083	7	8	7	16	9	10	11	12
ENSG00000165165	5	1	4	6	7	5	5	6
ENSG00000175376	219	228	122	190	152	121	182	119
ENSG00000203966	35	41	34	35	48	54	38	50
ENSG00000153319	21	11	32	6	26	4	14	5
ENSG00000157036	881	756	1093	774	1012	648	1289	880
ENSG00000210895	446	292	475	484	517	743	875	751
ENSG00000148748	182	256	234	308	242	264	373	376
ENSG00000126898	34	18	31	51	45	55	40	83
ENSG00000174637	106	117	93	66	83	114	123	79
ENSG00000229373	66	39	51	72	23	45	64	10
ENSG00000213483	757	911	278	1165	635	891	588	891
ENSG00000109171	13	6	5	9	8	5	5	5
ENSG00000234331	204	196	233	323	207	209	167	298
ENSG00000168130	212	166	117	89	263	227	140	80
ENSG00000223590	21	6	30	4	14	12	30	12
ENSG00000112932	785	726	774	421	305	413	346	279
ENSG00000190141	56	81	97	84	62	30	56	51
ENSG00000114704	6016	3604	8747	4667	7242	6930	8634	5740
ENSG00000104927	1218	1381	1900	1202	1843	1229	1312	1815
ENSG00000104820	180	87	117	136	135	148	110	48
ENSG00000249358	94	76	74	95	115	35	77	45
ENSG00000181586	46	59	36	37	36	39	40	30
ENSG00000149435	33	35	30	21	35	40	35	25
ENSG00000132722	268	303	149	185	279	295	346	226
ENSG00000215366	6	6	12	8	8	17	5	9
ENSG00000173451	1024	2066	1914	451	958	815	1489	1206
ENSG00000202952	433	349	606	409	677	306	709	304
ENSG00000164376	57	116	137	114	104	107	98	69
ENSG00000134158	1591	624	1368	680	1738	605	970	801
ENSG00000163064	31734	17669	25646	10847	34070	13810	25218	13176
ENSG00000149680	318	247	325	176	218	328	195	223
ENSG00000213160	6180	3781	3705	5059	4542	3650	5567	5733
ENSG00000247563	159	75	109	93	168	87	146	88
ENSG00000104839	92	58	125	29	88	36	108	20
ENSG00000136469	1482	434	1305	1356	995	914	1077	1072
ENSG00000196707	6	6	1	1	4	1	2	8
ENSG00000239349	729	773	1809	982	1090	1402	875	519
ENSG00000130368	175	119	162	114	187	203	139	70
ENSG00000108984	68	75	69	55	79	35	43	51
ENSG00000183128	125	197	190	175	154	128	133	158
ENSG00000179481	114	152	148	128	204	127	202	146
ENSG00000103856	2740	2792	2080	2583	1855	1821	2315	1972
ENSG00000105340	1052	666	779	818	699	1302	829	812
ENSG00000200239	316	217	275	171	213	177	131	94
ENSG00000127089	120	95	78	62	108	67	79	101
ENSG00000133288	10	38	8	18	17	22	31	14
ENSG00000166929	233	251	234	194	394	256	231	379
ENSG00000150848	1	0	0	0	2	0	0	2
ENSG00000110242	674	1124	559	741	1025	1095	1021	997
ENSG00000221171	159	156	97	109	137	148	136	59
ENSG00000209381	1	4	8	4	4	5	7	7
ENSG00000106174	570	436	566	354	556	604	474	520
ENSG00000138904	19	19	20	42	42	14	8	21
ENSG00000147662	53	73	53	78	44	81	37	28
ENSG00000137056	3	7	2	1	4	6	3	9
ENSG00000156123	57	57	20	21	20	52	35	32
ENSG00000134338	200	407	228	154	223	202	292	143
ENSG00000187573	86	93	185	118	168	167	168	110
ENSG00000171302	422	271	423	296	632	306	403	208
ENSG00000135784	54	35	39	46	43	21	26	37
ENSG00000232199	369	276	724	548	691	322	293	336
ENSG00000154649	11	14	12	9	5	4	5	6
ENSG00000100717	41	27	50	26	32	103	64	51
ENSG00000100657	2	0	1	2	0	2	0	3
ENSG00000223747	107	60	95	35	63	87	100	83
ENSG00000150465	35	51	33	66	33	61	41	38
ENSG00000157363	209	73	118	97	63	105	83	62
ENSG00000236502	424	399	473	509	645	413	561	263
ENSG00000202066	1122	1665	1641	1115	691	1766	3227	2176
ENSG00000142176	17	14	24	10	13	13	16	16
ENSG00000147773	82	44	63	72	88	47	38	141
ENSG00000211508	3	2	2	0	6	4	2	0
ENSG00000112164	5763	6037	3091	10593	4555	5561	7669	4039
ENSG00000207131	2281	1954	3508	1715	1062	2587	2417	2848
ENSG00000219500	358	478	508	461	335	177	500	332
ENSG00000127983	1566	1251	1262	2688	1839	732	1717	1845
ENSG00000242983	1020	739	990	327	1189	675	877	855
ENSG00000137048	31	39	23	55	38	63	61	66
ENSG00000231327	534	448	491	539	1105	688	505	456
ENSG00000122441	1461	1763	1538	2032	936	893	1318	2175
ENSG00000196112	860	605	374	783	642	829	918	595
ENSG00000181168	155	172	191	107	363	126	199	129
ENSG00000183212	58	102	151	34	48	90	34	28
ENSG00000185661	15965	20947	21093	16806	17051	21892	7921	25139
ENSG00000159354	347	246	156	152	238	293	268	165
ENSG00000136808	1946	582	842	561	591	415	1035	670
ENSG00000248603	18	7	5	10	7	7	15	3
ENSG00000201559	496	425	521	294	616	395	838	532
ENSG00000248335	220	105	226	316	267	243	416	157
ENSG00000239560	30	25	50	28	22	22	21	27
ENSG00000246490	2381	2317	1872	1548	1554	2910	1313	1265
ENSG00000193084	253	93	97	118	138	80	103	126
ENSG00000182151	379	994	939	324	418	440	337	589
ENSG00000176310	356	411	355	446	400	378	437	344
ENSG00000139606	30	23	26	39	51	48	44	25
ENSG00000162499	440	212	307	331	535	306	485	229
ENSG00000208213	1809	3832	2107	2631	1614	1722	1746	1154
ENSG00000132381	20	32	19	11	35	18	13	10
ENSG00000234268	23	12	18	25	18	14	15	16
ENSG00000159213	23	23	5	16	10	25	19	25
ENSG00000175532	758	592	699	263	491	595	558	595
ENSG00000130973	48	49	68	130	51	91	55	80
ENSG00000210754	242	171	226	268	187	304	285	257
ENSG00000162489	1613	2332	1294	1677	1323	1281	1380	570
ENSG00000248866	18	22	11	23	18	11	16	23
ENSG00000139035	3733	2745	2893	2235	4021	1493	2553	2848
ENSG00000171336	168	209	127	183	236	215	168	246
ENSG00000219279	263	155	181	197	218	64	172	82
ENSG00000219895	1835	2815	1710	2327	4295	4424	2761	1069
ENSG00000234076	448	241	214	416	526	226	423	455
ENSG00000180655	11	18	6	12	7	19	3	15
ENSG00000106491	266	183	179	131	141	145	186	198
ENSG00000135341	22	28	17	44	48	18	32	55
ENSG00000208762	314	292	215	300	315	105	143	257
ENSG00000111801	64	69	29	63	67	45	39	85
ENSG00000216701	36	140	78	15	84	76	73	50
ENSG00000110851	791	1426	759	1128	1065	1271	638	1303
ENSG00000177869	4	5	9	8	1	3	6	6
ENSG00000203044	260	330	253	225	223	278	198	218
ENSG00000210024	36	103	155	48	91	65	125	69
ENSG00000113366	206	208	429	428	329	199	199	240
ENSG00000151240	1	2	3	2	1	2	0	0
ENSG00000186999	20	28	35	28	19	16	17	38
ENSG00000197564	49	60	129	101	68	74	26	74
ENSG00000145619	4269	5042	8124	4053	6908	2470	22573	2810
ENSG00000232791	21	21	4	11	19	10	30	10
ENSG00000247313	18	5	16	17	10	21	18	10
ENSG00000202134	117	136	109	100	136	84	63	77
ENSG00000180223	365	239	485	111	311	321	210	459
ENSG00000100391	47	31	37	57	41	20	33	38
ENSG00000233372	81	234	85	187	147	203	264	180
ENSG00000132730	8	7	6	1	4	4	4	7
ENSG00000120167	3328	2687	6279	1749	2316	4540	4716	4239
ENSG00000240530	114	113	75	45	42	39	99	50
ENSG00000167726	220	247	221	338	117	148	281	355
ENSG00000225909	25824	42565	17872	19963	21769	24574	28427	26319
ENSG00000178535	29	62	80	21	79	36	57	41
ENSG00000237193	17	17	12	16	15	6	9	8
ENSG00000136897	36	19	18	16	15	28	12	9
ENSG00000124699	6366	1859	4017	4210	3829	3591	4395	6087
ENSG00000152085	132	77	140	104	107	85	146	106
ENSG00000149377	38	27	45	37	29	25	13	56
ENSG00000168294	189	108	222	95	81	90	182	136
ENSG00000184187	85	148	172	115	175	78	108	115
ENSG00000141255	1526	1406	1333	1754	1095	1630	729	1773
ENSG00000183155	720	657	686	714	678	214	433	896
ENSG00000135587	853	424	907	294	439	425	604	283
ENSG00000157068	392	429	458	183	359	655	158	300
ENSG00000165526	32	54	28	27	27	22	16	26
ENSG00000196167	23	7	14	6	8	6	8	11
ENSG00000233477	412	225	316	237	696	404	482	422
ENSG00000138322	388	402	573	466	498	544	379	454
ENSG00000191204	178	221	234	183	284	216	231	147
ENSG00000220609	290	245	331	209	231	185	319	199
ENSG00000171871	534	496	830	339	598	510	310	502
ENSG00000121602	14	6	15	15	10	16	21	19
ENSG00000184576	80	104	51	65	49	43	47	64
ENSG00000171553	23	18	19	18	19	13	39	35
ENSG00000213887	7	3	0	0	4	4	3	2
ENSG00000216375	527	238	415	871	513	467	508	431
ENSG00000236478	87	44	92	70	164	52	82	66
ENSG00000142776	360	378	234	436	339	357	343	395
ENSG00000128987	542	604	796	468	428	286	456	784
ENSG00000247361	26	32	28	30	10	22	21	28
ENSG00000200919	10686	4592	6994	3959	3311	2522	4657	2473
ENSG00000219761	702	198	934	324	600	286	376	267
ENSG00000111645	1043	1171	885	1030	1563	1104	751	1335
ENSG00000157377	4264	4443	4042	5131	6045	3330	4151	5987
ENSG00000200375	39	52	43	43	61	62	25	54
ENSG00000164381	48	46	69	53	85	53	129	35
ENSG00000240550	224	167	154	191	211	147	194	151
ENSG00000154381	1456	1608	1997	1635	1337	449	1315	1134
ENSG00000136203	1745	1152	1859	1515	1848	2362	2170	1457
ENSG00000163327	3	1	3	1	0	4	5	6
ENSG00000189346	2671	2727	1279	4407	3040	1981	1711	3344
ENSG00000162944	36	38	53	62	77	99	19	84
ENSG00000142299	388	331	488	543	557	268	281	404
