	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000150096	454	469	332	282	274	366	650	185	278	592	356	614
ENSG00000246527	1113	1397	1105	418	875	1354	1953	842	962	689	1011	1605
ENSG00000119931	13	39	26	13	21	36	16	12	15	12	9	27
ENSG00000170720	2209	2009	2374	1194	1600	1824	2060	1846	1105	1762	2128	1293
ENSG00000208609	2647	4145	4094	5010	4195	8815	3992	3432	3457	3717	3355	3264
ENSG00000196039	834	548	1541	851	778	800	631	1060	977	871	669	890
ENSG00000230700	848	319	582	1718	970	785	411	1009	357	887	990	584
ENSG00000238187	637	693	565	347	397	568	477	505	581	1068	372	563
ENSG00000191086	65	90	43	108	77	63	116	80	50	49	78	111
ENSG00000194911	33	22	22	29	16	19	31	29	20	22	16	23
ENSG00000125129	127	118	196	101	225	170	135	167	127	208	294	181
ENSG00000236829	203	174	259	242	179	182	220	289	322	385	238	279
ENSG00000110732	178	139	106	101	155	106	156	88	157	270	98	141
ENSG00000139301	735	642	396	426	522	369	440	360	226	609	599	559
ENSG00000113190	30	63	49	48	207	214	241	226	100	130	193	123
ENSG00000133216	162	177	102	111	155	131	155	91	211	123	128	325
ENSG00000121344	21	20	13	34	28	26	43	28	14	14	25	23
ENSG00000222031	7	13	31	19	20	31	25	20	31	38	13	9
ENSG00000129746	3069	2911	2962	4426	2935	2295	5481	2801	1996	3426	3174	5418
ENSG00000121638	127	328	250	246	286	265	380	682	347	589	159	283
ENSG00000154176	151	161	112	135	129	103	82	108	208	193	93	96
ENSG00000180302	22	36	31	22	16	17	10	28	30	7	27	20
ENSG00000153533	536	485	667	461	348	626	309	452	449	386	211	246
ENSG00000135908	9144	10885	3822	6181	20101	18146	23963	32917	14547	15624	26870	21640
ENSG00000131987	33	63	64	46	35	50	35	53	63	34	40	43
ENSG00000184304	95	100	107	64	64	102	105	72	88	89	70	135
ENSG00000248719	506	327	613	486	550	494	305	505	482	428	198	377
ENSG00000150742	28	43	23	19	19	38	18	27	5	19	49	24
ENSG00000134980	1	3	2	6	2	4	1	0	6	3	3	2
ENSG00000117241	726	385	747	909	636	723	657	957	767	490	503	714
ENSG00000216382	114	102	95	97	113	105	72	156	127	153	112	94
ENSG00000130650	1933	776	1815	1635	1345	1589	1502	1275	1139	1680	1420	1947
ENSG00000103701	590	1116	1488	763	1526	1387	1650	1193	580	773	711	1106
ENSG00000224231	247	241	207	158	198	219	222	252	360	178	238	143
ENSG00000225990	20	8	10	11	8	10	15	16	6	4	9	13
ENSG00000204787	948	3446	1708	1876	2263	1166	766	1937	1317	1183	2515	2326
ENSG00000169600	588	642	550	277	628	698	409	727	564	381	332	663
ENSG00000107340	150	346	406	331	305	298	295	155	408	337	206	214
ENSG00000125844	180	240	227	139	161	206	438	250	96	494	217	175
ENSG00000111853	155	182	208	193	155	195	343	97	190	403	236	198
ENSG00000102526	738	677	782	310	2172	5016	2097	1325	879	1157	774	1172
ENSG00000167000	14	27	26	16	130	75	129	72	21	30	33	23
ENSG00000204800	275	177	237	220	414	136	253	235	134	161	222	239
ENSG00000196124	29	21	32	28	25	9	33	26	22	22	25	20
ENSG00000212825	34	49	13	29	33	17	24	23	37	33	27	48
ENSG00000202783	143	128	220	269	151	95	257	117	204	191	85	150
ENSG00000126479	56	110	52	29	47	41	73	41	31	46	67	61
ENSG00000110595	297	255	205	182	323	207	287	294	193	185	110	202
ENSG00000127613	254	162	169	150	248	135	193	48	209	92	153	113
ENSG00000127876	19	49	36	61	84	43	39	27	46	56	50	53
ENSG00000241062	843	395	557	700	875	585	435	610	391	787	948	348
ENSG00000122101	648	380	439	631	324	303	339	464	739	489	261	409
ENSG00000150262	43	107	27	89	80	90	69	145	100	114	58	105
ENSG00000101039	36	27	27	54	27	31	28	43	34	37	28	40
ENSG00000157250	3889	4644	3336	3041	1251	6079	3403	3610	3182	4461	3102	2606
ENSG00000159829	8	11	15	4	5	13	16	10	16	4	12	9
ENSG00000197031	423	223	825	352	769	491	319	627	389	488	309	399
ENSG00000219235	37	52	27	33	43	88	87	49	23	32	34	33
ENSG00000241598	650	760	528	868	1847	3429	4531	4696	2203	1376	1580	1700
ENSG00000195635	98	115	151	69	87	115	138	115	109	124	80	161
ENSG00000219727	8919	9124	10657	2726	4273	7894	4933	6131	6182	4610	3625	8178
ENSG00000121201	242	321	356	303	307	246	347	385	485	257	166	276
ENSG00000138837	97	38	63	80	41	94	81	90	115	86	100	172
ENSG00000102941	42	44	57	43	54	33	41	27	49	34	37	48
ENSG00000201606	691	278	655	605	506	565	609	424	454	420	261	405
ENSG00000238968	105	46	166	148	219	143	86	185	85	206	189	286
ENSG00000192740	8	8	12	8	5	13	6	9	9	1	5	4
ENSG00000222866	14	12	13	16	12	10	13	8	18	11	3	9
ENSG00000104636	1	6	6	4	2	7	1	7	5	4	2	6
ENSG00000225699	5174	3063	5444	4337	3379	3194	3179	3794	6092	3258	3114	4028
ENSG00000185382	1647	2922	4624	2258	1718	3157	2999	3448	1680	3248	2048	2480
ENSG00000166312	53	91	111	122	120	133	90	96	164	133	123	127
ENSG00000196364	1468	1515	2347	1875	987	1804	2349	1659	1376	3179	974	1536
ENSG00000196614	42	77	113	163	63	83	104	152	110	73	82	73
ENSG00000243297	103	73	187	104	473	432	329	290	133	170	208	336
ENSG00000123624	146	112	128	79	227	80	63	102	78	97	122	121
ENSG00000178694	663	919	526	789	623	415	451	322	524	450	953	561
ENSG00000246123	48	30	39	67	29	27	65	35	42	28	33	55
ENSG00000200129	448	404	459	284	1680	1094	355	1453	980	618	769	608
ENSG00000240121	151	86	175	116	164	167	124	93	130	125	156	191
ENSG00000190493	4	8	4	0	10	1	4	0	0	6	5	0
ENSG00000144852	4	9	7	14	10	21	12	3	9	2	8	12
ENSG00000163888	526	1004	420	628	590	982	461	631	567	488	387	528
ENSG00000135423	37	180	101	99	220	136	127	193	68	102	70	113
ENSG00000102886	79	75	85	50	64	42	64	30	61	78	69	54
ENSG00000120291	96	159	79	123	129	122	151	86	115	88	170	114
ENSG00000179406	57	67	97	77	81	93	75	69	94	94	77	76
ENSG00000214205	172	211	132	120	136	162	194	124	105	99	113	121
ENSG00000157352	909	687	372	917	620	788	956	703	1258	828	769	1069
ENSG00000225743	65	60	74	80	29	61	65	95	40	37	54	54
ENSG00000168549	284	189	332	372	220	276	371	223	366	262	264	157
ENSG00000197384	1078	998	1329	1272	1390	945	1078	1707	1855	1457	982	1216
ENSG00000128405	223	190	307	142	284	306	185	219	345	260	346	147
ENSG00000121461	1	1	3	3	3	2	3	0	2	4	2	4
ENSG00000121685	2027	1746	1590	1343	1191	2660	1362	1769	2958	1627	2428	2942
ENSG00000143919	28	15	17	14	7	4	10	20	21	31	19	18
ENSG00000215500	41	63	52	67	32	32	73	70	53	60	58	52
ENSG00000225156	537	547	538	674	543	483	531	445	284	453	466	784
ENSG00000139909	4177	3297	7672	5674	3941	7090	2821	8082	6790	6728	4437	8803
ENSG00000155324	402	829	476	503	513	662	497	826	527	769	690	527
ENSG00000136055	225	146	205	227	156	227	130	278	181	129	252	208
ENSG00000127452	133	117	40	81	64	63	58	49	85	38	74	99
ENSG00000239155	67	44	37	68	48	48	36	31	49	27	46	55
ENSG00000236777	20	19	27	21	10	27	22	15	34	22	26	23
ENSG00000160332	521	712	795	631	362	468	1021	528	674	890	753	779
ENSG00000142790	135	167	163	86	181	148	181	168	119	150	175	113
ENSG00000248686	127	245	239	110	186	161	146	193	232	153	135	216
ENSG00000101053	23	13	3	13	6	13	10	18	8	8	7	7
ENSG00000202236	212	278	264	152	293	262	123	355	205	192	404	484
ENSG00000152847	2	4	5	10	5	5	9	3	8	8	4	10
ENSG00000170096	197	220	447	272	184	433	379	423	236	196	305	497
ENSG00000188887	4400	6391	4807	8442	3971	5486	5827	5014	5670	7869	9142	5904
ENSG00000194299	19	23	27	36	13	38	17	15	13	24	21	37
ENSG00000232401	1	17	15	11	13	17	16	13	6	21	12	8
ENSG00000160452	2246	2970	1726	2059	2028	2224	1091	1726	1653	2509	1788	1734
ENSG00000186448	44	34	97	71	225	234	237	193	59	80	126	89
ENSG00000146053	2165	2167	2449	1952	1347	1275	1504	1084	2710	1951	2003	2365
ENSG00000216517	7	9	14	8	12	9	9	9	8	11	13	8
ENSG00000213459	437	285	286	379	185	186	293	228	269	172	427	258
ENSG00000170734	583	1490	611	773	445	1094	1180	1375	1086	673	647	953
ENSG00000141226	320	522	249	161	408	459	255	318	311	175	213	233
ENSG00000135392	13	10	20	17	17	7	17	30	20	20	25	15
ENSG00000177459	2	0	1	1	0	0	2	1	1	2	0	1
ENSG00000230897	111	152	149	74	170	61	115	126	144	91	154	92
ENSG00000154932	44	27	43	35	28	28	41	69	17	42	45	25
ENSG00000140309	155	182	154	224	237	174	275	155	254	156	222	274
ENSG00000215663	2230	6028	6277	6363	2075	4077	4912	6809	2622	3828	3300	1931
ENSG00000216572	3	6	6	8	7	7	1	13	5	7	11	10
ENSG00000195053	73	65	110	101	81	33	68	70	52	92	21	84
ENSG00000114899	749	854	607	591	682	492	578	599	478	664	760	588
ENSG00000205597	11610	15296	7538	8514	10734	7753	9569	6495	6778	12889	5724	5400
ENSG00000168737	69	177	262	259	183	200	163	262	102	187	137	237
ENSG00000120260	2745	890	1961	1605	1178	2239	1247	1844	1284	1483	1470	1129
ENSG00000230090	22	28	16	60	29	32	22	16	36	33	23	17
ENSG00000216080	187	165	190	223	426	664	471	499	468	369	317	334
ENSG00000200487	219	145	329	100	200	127	178	68	136	146	72	189
ENSG00000140314	713	609	564	325	1409	2085	1179	2712	1462	1762	837	924
ENSG00000153235	111	135	92	131	83	138	142	142	144	177	140	145
ENSG00000213151	128	220	88	97	157	96	161	44	79	112	180	140
ENSG00000166922	1616	1019	1415	877	1008	882	2056	1003	1683	717	1733	1210
ENSG00000187371	80	74	142	155	170	260	155	207	245	91	190	196
ENSG00000118433	91	145	168	170	73	128	144	108	122	133	140	154
ENSG00000152326	228	306	294	168	259	272	412	285	248	187	212	146
ENSG00000160906	118	140	116	63	62	78	125	104	136	170	122	91
ENSG00000233392	1498	901	1202	873	1350	580	1091	654	1794	1418	2003	701
ENSG00000187830	520	633	633	565	342	577	602	318	638	501	507	778
ENSG00000189644	13	16	42	35	21	33	28	42	13	16	34	37
ENSG00000125375	156	263	238	260	853	950	906	712	441	148	358	357
ENSG00000217698	9	3	8	1	8	6	7	9	5	6	4	9
ENSG00000146253	22	21	29	19	17	47	30	33	33	23	28	15
ENSG00000131554	159	139	205	212	181	86	314	136	232	126	75	208
ENSG00000231952	1752	1670	2323	2016	6302	6261	6792	16333	2575	3389	4359	3664
ENSG00000232154	426	409	333	383	308	407	436	323	528	419	275	425
ENSG00000215247	1157	1446	1614	1446	1913	1438	1623	1237	762	622	2022	2136
ENSG00000150618	41	43	41	41	11	47	48	44	40	52	46	64
ENSG00000189843	1159	2457	1965	2832	1897	3760	3442	2225	2406	3781	3602	1569
ENSG00000218761	514	306	392	577	713	620	583	543	630	373	904	417
ENSG00000121539	50	30	28	41	27	72	66	71	45	41	79	54
ENSG00000189924	53	102	88	82	32	71	50	72	60	65	115	64
ENSG00000208738	107	125	89	180	188	170	121	95	91	85	201	26
ENSG00000238961	10	14	8	9	10	4	14	11	10	9	6	18
ENSG00000237114	5	2	4	8	8	3	15	6	11	16	9	11
ENSG00000216853	28	30	25	24	20	32	30	38	34	25	19	20
ENSG00000207552	198	162	481	362	200	165	260	370	210	235	145	309
ENSG00000160127	109	75	199	101	109	98	85	39	87	127	154	197
ENSG00000106757	2889	4918	3790	7783	14428	25199	23093	15346	9317	11060	19354	16125
ENSG00000160407	1306	1052	873	1085	1223	979	1244	1518	1706	851	1307	988
ENSG00000159894	71	71	51	104	79	67	59	70	87	83	85	61
ENSG00000234543	1630	1645	2099	1626	4874	3847	7310	12775	1633	1659	5595	3737
ENSG00000133795	67	130	73	56	68	80	40	54	97	67	76	111
ENSG00000125183	113	107	63	102	89	80	95	93	132	122	78	108
ENSG00000159332	434	608	361	717	437	571	737	1061	539	883	479	1210
ENSG00000128948	18459	38401	23755	12410	16529	34569	32196	15428	26676	40655	22506	13242
ENSG00000120425	108	83	106	118	154	182	76	150	72	97	79	97
ENSG00000148717	6039	4343	11473	14690	10108	7891	7667	9436	8937	8297	4814	5977
ENSG00000187452	91	99	224	183	143	175	99	147	113	120	128	200
ENSG00000135271	1770	1079	1699	1139	1638	1283	1536	2139	1666	1690	1465	2079
ENSG00000171479	3291	2058	2912	2059	2523	2197	2421	1659	2026	1514	2264	2474
ENSG00000131421	783	838	721	499	373	814	635	663	613	399	833	601
ENSG00000100600	676	614	795	547	748	694	854	714	942	1061	415	1030
ENSG00000106340	103	151	140	169	145	196	123	167	171	69	114	119
ENSG00000169158	9	5	7	2	13	3	7	11	4	6	7	8
ENSG00000244869	237	237	238	276	152	250	280	243	118	212	124	194
ENSG00000208851	252	168	224	327	93	134	119	121	247	151	323	340
ENSG00000141906	9915	6579	5869	6682	7929	6990	7647	6356	9127	8957	7090	12647
ENSG00000126352	287	336	228	355	239	151	299	259	140	313	153	365
ENSG00000174564	303	389	848	618	1861	1687	1845	1228	632	435	1337	731
ENSG00000149161	956	639	860	648	426	880	590	1353	329	447	675	500
ENSG00000116354	27	50	40	57	30	71	63	32	58	28	26	79
ENSG00000167303	206	196	343	244	1128	1903	1999	1421	315	467	553	608
ENSG00000148795	2318	1173	767	1585	2269	1245	862	2462	1329	1421	2611	1470
ENSG00000102357	175	160	114	120	481	564	700	572	407	413	481	572
ENSG00000154086	21	19	15	34	32	7	26	18	13	24	19	6
ENSG00000241713	163	382	211	170	279	288	182	319	262	169	138	234
ENSG00000174461	1591	1340	1093	1644	1659	1130	654	1510	1300	1335	2268	1006
ENSG00000177679	101	239	263	159	161	65	113	114	153	251	195	117
ENSG00000221346	115	50	81	39	71	107	76	67	83	88	40	56
ENSG00000163731	1051	691	761	1028	479	1425	1507	434	737	736	1047	1083
ENSG00000202693	4	6	2	9	9	8	22	13	9	4	7	4
ENSG00000208441	271	278	260	188	141	263	250	244	183	196	356	137
ENSG00000216747	132	132	143	194	188	259	160	164	127	225	92	147
ENSG00000128473	22	52	65	56	30	36	26	43	28	51	26	36
ENSG00000178278	225	173	99	271	229	117	127	178	106	153	274	138
ENSG00000247465	1906	1707	1241	754	1951	1691	1473	1087	1351	1569	1148	1241
ENSG00000142068	1618	796	969	1688	1019	705	697	948	1000	792	787	1296
ENSG00000215392	244	220	161	282	479	242	416	261	331	365	300	259
ENSG00000158580	1383	2018	1470	1926	1482	2510	1443	1152	1147	1784	496	1274
ENSG00000163964	584	1242	291	503	422	478	680	386	583	616	621	490
ENSG00000188661	11	12	17	15	9	29	20	7	17	10	20	17
ENSG00000113156	1581	1893	2693	1280	1047	1439	1403	1065	886	1040	1637	1980
ENSG00000164549	186	116	113	107	160	174	188	199	272	102	101	241
ENSG00000229106	212	208	425	203	1100	842	1192	576	362	530	448	308
ENSG00000142294	131	188	354	242	267	132	241	408	261	356	210	225
ENSG00000244241	1105	2908	4482	2142	2495	3651	3091	1375	5300	2595	2177	2257
ENSG00000146952	78	149	63	67	53	55	66	112	69	41	97	89
ENSG00000200074	310	598	774	603	578	531	401	478	841	553	782	656
ENSG00000244153	126	109	232	205	199	172	253	196	179	137	124	108
ENSG00000185118	47	85	72	58	72	99	69	37	40	89	32	59
ENSG00000224881	8	8	7	11	24	35	23	40	20	18	9	15
ENSG00000115707	688	461	593	1035	2626	3816	2505	3570	1864	1325	957	1581
ENSG00000173187	84	47	49	46	64	76	75	85	86	44	36	79
ENSG00000136041	97	107	113	84	50	128	64	92	63	95	61	138
ENSG00000229905	215	169	218	150	166	176	119	71	109	157	193	155
ENSG00000163048	30	56	85	86	339	211	163	107	55	148	122	60
ENSG00000225904	2	11	6	8	7	4	6	8	3	5	7	1
ENSG00000120438	3182	7960	3454	4443	4831	8444	3723	2945	2475	4901	7525	4599
ENSG00000178629	548	961	462	772	633	690	813	513	439	714	352	764
ENSG00000174119	423	1055	1337	550	542	677	874	645	756	515	1020	697
ENSG00000195563	302	238	203	477	241	315	244	324	223	240	233	281
ENSG00000217774	156	111	155	149	262	236	88	105	181	137	166	178
ENSG00000175199	342	208	348	207	377	288	360	392	322	371	432	346
ENSG00000169226	352	408	187	424	2246	1237	1423	1345	865	1102	825	808
ENSG00000235333	612	537	460	593	423	535	258	539	479	374	317	228
ENSG00000183016	6723	3604	4561	6944	5572	5197	2670	4412	9248	5086	3957	6290
ENSG00000101787	18	32	44	18	11	22	15	14	27	21	11	34
ENSG00000127591	9	15	14	13	8	8	7	8	12	23	10	12
ENSG00000162573	46	109	78	60	84	48	67	86	53	62	62	46
ENSG00000103656	373	455	317	383	468	760	737	594	783	525	921	686
ENSG00000148122	347	178	290	240	304	304	495	223	242	273	395	191
ENSG00000169839	5	5	2	4	4	12	3	4	1	6	3	5
ENSG00000162155	820	622	586	354	507	577	423	404	593	602	592	748
ENSG00000104361	2984	3846	2449	3378	3726	4550	3026	3839	2295	6421	2904	4355
ENSG00000127356	62	97	49	184	70	81	62	73	59	119	138	132
ENSG00000114704	755	673	666	952	497	717	779	1160	515	710	693	1075
ENSG00000201841	407	335	325	160	166	246	165	147	224	349	188	202
ENSG00000168448	38	39	35	36	42	32	21	43	53	32	56	48
ENSG00000149587	1681	2352	2817	1985	2157	2120	1091	1452	2065	1578	1607	1237
ENSG00000212902	211	163	113	183	202	167	202	167	117	163	190	285
ENSG00000139370	5	18	10	17	10	17	11	8	20	12	11	18
ENSG00000187703	735	1187	984	607	647	525	1005	1399	1476	1162	1421	970
ENSG00000200687	2	1	1	6	0	0	2	4	2	2	0	2
ENSG00000130368	14132	12494	7593	6823	7520	3306	6045	5871	5880	9156	3816	8787
ENSG00000112298	4	2	1	0	4	0	2	0	0	1	2	2
ENSG00000159834	25	33	25	51	35	29	40	39	23	54	38	25
ENSG00000233287	1	2	2	2	2	3	3	3	2	5	7	3
ENSG00000193248	496	383	237	299	506	867	509	412	511	322	378	243
ENSG00000122158	2284	1796	1302	2622	3314	1899	3733	1872	3020	1618	2299	3532
ENSG00000179703	11	9	7	16	8	8	18	9	7	5	8	4
ENSG00000209136	417	293	247	383	396	524	396	481	245	402	453	299
ENSG00000182658	10	8	13	7	16	16	11	10	8	13	4	13
ENSG00000120712	5	10	6	10	3	4	2	2	7	8	2	3
ENSG00000103766	117	292	117	162	179	216	176	186	245	200	248	204
ENSG00000142710	1462	1500	1592	921	3864	5447	4214	8030	3488	3833	2400	2127
ENSG00000127089	173	129	138	174	103	178	104	120	247	133	153	157
ENSG00000108177	216	98	189	128	137	65	188	197	113	140	201	111
ENSG00000106642	888	968	802	905	775	816	1013	1080	670	533	1426	1327
ENSG00000126411	222	430	284	239	272	175	306	255	182	334	261	274
ENSG00000245017	1009	464	610	857	1176	716	693	714	1016	802	704	769
ENSG00000109149	796	572	1515	1285	638	447	1358	1129	685	566	937	633
ENSG00000161347	626	666	239	215	554	121	253	366	305	323	429	300
ENSG00000139576	531	338	682	511	554	689	577	503	454	421	230	709
ENSG00000147619	595	533	735	414	771	1034	793	1024	518	438	929	534
ENSG00000243418	144	230	93	87	338	936	747	395	307	348	235	115
ENSG00000126843	37	113	73	81	99	152	75	94	126	85	70	52
ENSG00000128100	36	54	27	27	30	53	26	52	74	52	46	53
ENSG00000222281	573	891	787	564	966	756	420	967	758	1115	1034	499
ENSG00000134338	53	70	37	86	53	52	45	55	52	69	24	73
ENSG00000164516	649	1299	2543	1487	1949	1073	998	2231	563	1237	1667	1621
ENSG00000135174	2430	1849	2536	1954	1825	2575	3015	1398	4228	1728	2412	2223
ENSG00000215443	116	164	234	126	196	275	136	155	180	198	238	119
ENSG00000221406	121	155	212	205	155	90	161	207	219	176	193	147
ENSG00000212645	2706	1561	3611	5924	2775	5276	5754	3574	3875	4481	3030	2759
ENSG00000192463	363	249	231	269	323	488	149	324	297	203	250	334
ENSG00000145275	8111	10649	11154	10598	4240	13182	6167	7084	12516	12665	15252	5879
ENSG00000207864	3	35	8	26	41	19	15	26	14	12	26	22
ENSG00000155988	11	13	11	11	11	11	14	11	15	11	8	12
ENSG00000233020	290	569	267	224	193	361	507	156	154	562	322	380
ENSG00000143411	166	307	298	335	180	305	193	172	292	359	181	275
ENSG00000201628	47	129	160	79	95	82	53	148	88	115	96	203
ENSG00000136544	11	13	9	15	4	15	5	2	15	11	2	6
ENSG00000244852	238	189	199	238	183	93	243	159	149	213	246	331
ENSG00000168270	90	74	58	103	85	126	79	106	111	90	51	114
ENSG00000236502	857	324	870	455	668	623	683	931	578	584	358	549
ENSG00000202066	367	166	267	263	336	267	521	396	323	479	432	220
ENSG00000226161	37	15	59	40	69	46	24	52	45	36	41	44
ENSG00000145706	93	115	142	126	85	43	107	50	71	55	64	59
ENSG00000115946	1016	1092	326	1002	949	809	1737	1157	203	1092	804	1312
ENSG00000208418	144	123	109	113	75	175	148	191	158	134	60	123
ENSG00000144579	36	51	42	64	75	39	35	78	49	22	46	21
ENSG00000187912	39	100	75	74	113	75	77	133	114	103	55	99
ENSG00000226051	3947	4059	7934	3084	5117	5545	8829	7235	3825	2890	7321	4025
ENSG00000188153	19862	16139	14199	7920	76008	95712	64543	35438	16410	24386	25369	29735
ENSG00000127983	346	693	554	665	801	642	370	382	495	461	677	481
ENSG00000234674	573	808	583	726	788	437	870	1372	604	476	768	776
ENSG00000140837	911	411	536	384	629	427	602	679	343	421	356	478
ENSG00000146167	240	263	480	296	622	130	233	398	357	273	339	344
ENSG00000148761	3	1	2	4	1	5	4	1	0	5	1	2
ENSG00000233545	13063	20766	15417	14728	9339	17223	29403	16350	18143	12739	28919	7847
ENSG00000185317	131	153	126	161	136	72	157	120	124	81	60	106
ENSG00000114517	257	1048	491	333	730	425	261	369	446	342	422	412
ENSG00000198132	394	657	656	364	668	655	516	380	615	611	527	308
ENSG00000121318	61	42	26	30	31	22	28	38	32	43	24	45
ENSG00000146749	4	5	8	8	9	5	14	10	11	20	6	20
ENSG00000140870	724	414	599	552	487	389	450	591	825	353	688	911
ENSG00000132063	319	168	371	140	335	288	524	244	445	308	243	216
ENSG00000112378	567	608	701	872	515	768	342	781	574	305	482	881
ENSG00000183212	2823	3351	5244	2946	4664	3077	5235	2356	7777	10773	4430	3836
ENSG00000149355	17	21	9	18	24	11	27	5	10	11	30	30
ENSG00000152639	58	36	34	18	42	76	27	28	32	45	72	36
ENSG00000179958	433	389	168	422	318	264	465	569	312	401	358	480
ENSG00000225769	934	1197	1836	911	2514	6469	7238	6805	2081	3348	2229	3165
ENSG00000248335	3137	2197	3172	3130	1688	2112	3377	1994	1252	2595	2795	2772
ENSG00000112753	44	30	50	51	60	37	34	27	51	45	43	50
ENSG00000188012	93	117	79	86	399	626	592	315	154	75	132	208
ENSG00000127926	98	87	70	85	76	67	55	104	53	109	135	38
ENSG00000159044	22	33	21	35	35	34	23	38	16	37	29	16
ENSG00000100142	341	496	448	458	301	152	324	328	632	196	543	563
ENSG00000166031	14	11	8	19	8	14	14	12	8	6	5	12
ENSG00000193968	608	640	904	962	540	520	492	556	615	473	863	476
ENSG00000159213	37	54	42	29	21	45	24	28	59	39	39	31
ENSG00000128830	9404	10761	6574	8430	5923	7324	7838	5443	5295	4795	4581	6195
ENSG00000140006	72	88	51	69	53	78	85	119	68	58	115	39
ENSG00000189896	1003	1330	988	911	1617	812	1485	1528	648	899	1104	784
ENSG00000109265	1446	1728	1434	1377	2181	2347	1933	1265	1996	2250	1060	1140
ENSG00000184764	65	78	59	120	38	78	85	55	65	48	146	93
ENSG00000162489	256	728	720	424	436	471	628	530	464	184	395	163
ENSG00000224200	266	423	485	414	1216	901	1636	1604	747	589	588	948
ENSG00000175356	51	56	57	21	30	40	31	40	59	28	47	68
ENSG00000135386	182	120	99	128	185	105	153	112	137	149	76	82
ENSG00000175268	13588	12261	13581	7724	9757	4213	13426	12869	10776	16194	14717	11700
ENSG00000182510	715	346	393	469	430	486	382	303	447	497	239	520
ENSG00000108852	1086	427	563	849	498	995	649	383	714	468	565	895
ENSG00000148653	3	4	4	4	8	8	8	4	6	1	8	2
ENSG00000222258	9	4	6	8	12	1	2	5	5	2	4	4
ENSG00000206843	276	1038	422	492	677	410	185	352	485	336	558	462
ENSG00000177843	121	46	142	59	102	61	59	58	71	106	67	120
ENSG00000113366	7	9	14	5	12	5	16	11	9	10	12	7
ENSG00000194763	43	58	22	31	30	36	20	9	18	41	30	32
ENSG00000208929	26	20	19	77	42	35	36	24	72	54	35	51
ENSG00000145619	4	2	6	6	2	3	3	3	0	4	3	4
ENSG00000188597	579	648	842	518	516	483	636	780	604	595	666	1029
ENSG00000173495	4	4	2	2	1	5	2	2	0	2	2	6
ENSG00000126973	8355	7198	5657	7847	51668	59538	44990	29982	17032	16410	8057	29318
ENSG00000211910	1	3	3	2	21	8	16	17	5	5	6	2
ENSG00000213116	25	33	24	46	16	45	26	22	40	24	17	35
ENSG00000210526	412	696	420	791	569	544	596	473	433	626	763	519
ENSG00000113481	293	326	117	150	1143	937	943	1201	729	651	452	597
ENSG00000123083	643	1085	688	1404	893	1052	1405	979	946	1256	805	1414
ENSG00000144496	73	26	34	36	25	33	57	42	66	28	34	11
ENSG00000207084	3	1	5	3	2	3	1	2	1	2	3	8
ENSG00000245673	857	1085	1094	1548	1013	1002	437	1106	963	1698	1059	1128
ENSG00000150948	45	26	37	46	47	44	32	41	45	44	33	57
ENSG00000156083	240	346	247	162	475	292	340	238	195	507	315	165
ENSG00000226513	4590	2390	1763	2533	3642	1697	2361	2324	2654	2789	2778	1105
ENSG00000156206	3797	2982	5005	2923	4588	4797	6643	2559	3102	4745	6722	4757
ENSG00000170281	4	6	1	1	2	0	1	2	5	4	1	6
ENSG00000215795	305	232	302	433	456	411	169	537	557	400	474	536
ENSG00000168259	5	8	11	11	6	5	2	5	9	11	4	6
ENSG00000232013	37	24	73	34	41	23	28	44	19	31	25	52
ENSG00000130195	37	9	40	13	11	12	19	15	22	14	21	17
ENSG00000249721	1434	2038	2818	2088	3733	5744	1263	2821	5116	1749	3717	2541
ENSG00000125659	284	254	160	145	148	114	314	209	293	309	240	130
ENSG00000243701	23	28	23	40	26	50	43	26	12	32	25	28
ENSG00000222467	1385	983	1248	878	519	969	1620	1265	814	998	829	1173
ENSG00000149105	30	24	34	14	35	57	76	72	73	86	102	39
ENSG00000203211	1849	5460	1677	1875	2906	2176	3539	1611	1351	2468	3745	1452
ENSG00000219098	63	86	46	52	35	78	68	27	55	71	75	54
ENSG00000185218	628	325	433	363	476	740	497	197	321	408	536	475
ENSG00000196887	2518	2392	2785	1939	5563	9019	7813	6253	2435	7270	5004	3939
ENSG00000238909	21	28	15	20	32	28	35	22	31	25	14	14
ENSG00000139253	1292	547	1156	778	669	626	648	1169	1364	721	1023	672
ENSG00000221125	573	500	356	1049	398	612	354	763	460	573	457	675
ENSG00000218494	276	449	580	425	206	440	589	649	240	537	354	492
ENSG00000112623	23	14	13	18	24	29	18	30	15	27	23	17
ENSG00000208788	673	268	436	211	280	339	157	385	339	411	414	348
ENSG00000192756	73	84	39	56	51	50	72	86	97	81	10	66
ENSG00000195409	393	403	420	324	713	823	551	396	534	654	1039	513
ENSG00000169031	1	2	5	7	3	5	7	11	5	5	8	2
ENSG00000208183	223	185	195	200	184	83	156	114	187	177	149	275
ENSG00000218199	83	26	40	37	21	24	46	36	49	19	36	32
ENSG00000179517	13	17	19	13	16	21	17	10	33	11	16	16
ENSG00000141326	1939	2703	4207	1809	2200	1950	3229	3096	2349	1606	2181	2271
ENSG00000209876	10	28	9	24	37	8	41	15	25	20	20	10
